frequency_hz,power_db_hz
-100000,-150.598
-99804.7,-150.601
-99609.4,-150.625
-99414.1,-150.589
-99218.8,-150.514
-99023.4,-150.491
-98828.1,-150.526
-98632.8,-150.568
-98437.5,-150.547
-98242.2,-150.498
-98046.9,-150.499
-97851.6,-150.497
-97656.2,-150.519
-97460.9,-150.546
-97265.6,-150.611
-97070.3,-150.634
-96875,-150.684
-96679.7,-150.788
-96484.4,-150.88
-96289.1,-150.896
-96093.8,-150.995
-95898.4,-151.108
-95703.1,-150.942
-95507.8,-150.646
-95312.5,-150.246
-95117.2,-149.689
-94921.9,-148.87
-94726.6,-147.924
-94531.2,-146.811
-94335.9,-145.608
-94140.6,-144.518
-93945.3,-143.28
-93750,-141.988
-93554.7,-140.991
-93359.4,-139.919
-93164.1,-138.505
-92968.8,-137.586
-92773.4,-136.744
-92578.1,-135.621
-92382.8,-134.517
-92187.5,-133.754
-91992.2,-132.785
-91796.9,-131.836
-91601.6,-131.039
-91406.2,-130.152
-91210.9,-129.494
-91015.6,-128.632
-90820.3,-127.922
-90625,-127.183
-90429.7,-126.617
-90234.4,-125.877
-90039.1,-125.318
-89843.8,-124.616
-89648.4,-124.038
-89453.1,-123.497
-89257.8,-122.867
-89062.5,-122.187
-88867.2,-121.982
-88671.9,-121.358
-88476.6,-120.584
-88281.2,-120.261
-88085.9,-119.988
-87890.6,-119.383
-87695.3,-118.815
-87500,-118.444
-87304.7,-118.142
-87109.4,-117.74
-86914.1,-117.105
-86718.8,-116.777
-86523.4,-116.665
-86328.1,-116.171
-86132.8,-115.69
-85937.5,-115.37
-85742.2,-115.03
-85546.9,-114.846
-85351.6,-114.59
-85156.2,-113.974
-84960.9,-113.807
-84765.6,-113.894
-84570.3,-113.304
-84375,-112.833
-84179.7,-113.037
-83984.4,-112.641
-83789.1,-112.186
-83593.8,-112.161
-83398.4,-111.981
-83203.1,-111.645
-83007.8,-111.489
-82812.5,-111.344
-82617.2,-111.025
-82421.9,-111.015
-82226.6,-110.819
-82031.2,-110.492
-81835.9,-110.41
-81640.6,-110.441
-81445.3,-110.081
-81250,-109.95
-81054.7,-109.922
-80859.4,-109.814
-80664.1,-109.583
-80468.8,-109.437
-80273.4,-109.398
-80078.1,-109.369
-79882.8,-109.235
-79687.5,-109.131
-79492.2,-108.992
-79296.9,-108.991
-79101.6,-108.871
-78906.2,-108.468
-78710.9,-108.451
-78515.6,-108.572
-78320.3,-108.358
-78125,-108.222
-77929.7,-108.551
-77734.4,-108.36
-77539.1,-108.085
-77343.8,-108.203
-77148.4,-108.16
-76953.1,-108.175
-76757.8,-108.258
-76562.5,-107.935
-76367.2,-107.774
-76171.9,-108.322
-75976.6,-108.194
-75781.2,-107.622
-75585.9,-107.774
-75390.6,-108.131
-75195.3,-107.966
-75000,-107.571
-74804.7,-107.666
-74609.4,-107.955
-74414.1,-107.878
-74218.8,-107.623
-74023.4,-107.619
-73828.1,-107.663
-73632.8,-107.785
-73437.5,-107.653
-73242.2,-107.458
-73046.9,-107.451
-72851.6,-107.909
-72656.2,-107.639
-72460.9,-107.261
-72265.6,-107.607
-72070.3,-107.86
-71875,-107.408
-71679.7,-107.462
-71484.4,-107.782
-71289.1,-107.342
-71093.8,-107.403
-70898.4,-107.606
-70703.1,-107.35
-70507.8,-107.324
-70312.5,-107.558
-70117.2,-107.258
-69921.9,-107.192
-69726.6,-107.531
-69531.2,-107.318
-69335.9,-107.081
-69140.6,-107.432
-68945.3,-107.329
-68750,-107.006
-68554.7,-107.251
-68359.4,-107.354
-68164.1,-107.087
-67968.8,-107.153
-67773.4,-107.269
-67578.1,-107.046
-67382.8,-107.092
-67187.5,-107.225
-66992.2,-106.953
-66796.9,-106.996
-66601.6,-107.241
-66406.2,-107.06
-66210.9,-106.87
-66015.6,-107.199
-65820.3,-107.006
-65625,-106.631
-65429.7,-106.915
-65234.4,-106.989
-65039.1,-106.678
-64843.8,-106.968
-64648.4,-107.011
-64453.1,-106.667
-64257.8,-106.975
-64062.5,-107.191
-63867.2,-106.608
-63671.9,-106.821
-63476.6,-107.204
-63281.2,-106.876
-63085.9,-106.719
-62890.6,-107.02
-62695.3,-106.873
-62500,-106.846
-62304.7,-107.059
-62109.4,-106.675
-61914.1,-106.648
-61718.8,-107.132
-61523.4,-106.906
-61328.1,-106.453
-61132.8,-106.825
-60937.5,-106.998
-60742.2,-106.747
-60546.9,-106.716
-60351.6,-106.884
-60156.2,-106.818
-59960.9,-106.811
-59765.6,-106.798
-59570.3,-106.901
-59375,-106.808
-59179.7,-106.877
-58984.4,-106.86
-58789.1,-106.695
-58593.8,-106.963
-58398.4,-106.956
-58203.1,-106.604
-58007.8,-106.78
-57812.5,-107.132
-57617.2,-106.745
-57421.9,-106.617
-57226.6,-107.131
-57031.2,-106.942
-56835.9,-106.792
-56640.6,-106.899
-56445.3,-106.859
-56250,-106.845
-56054.7,-107.162
-55859.4,-106.825
-55664.1,-106.714
-55468.8,-107.239
-55273.4,-107.07
-55078.1,-106.648
-54882.8,-107.101
-54687.5,-107.22
-54492.2,-106.818
-54296.9,-107.009
-54101.6,-107.287
-53906.2,-107.001
-53710.9,-106.961
-53515.6,-107.208
-53320.3,-107.049
-53125,-107.105
-52929.7,-107.348
-52734.4,-107.099
-52539.1,-106.877
-52343.8,-107.294
-52148.4,-107.287
-51953.1,-106.823
-51757.8,-107.171
-51562.5,-107.617
-51367.2,-107.108
-51171.9,-107.165
-50976.6,-107.515
