frequency_hz,power_db_hz
-100000,-150.511
-99804.7,-150.58
-99609.4,-150.535
-99414.1,-150.466
-99218.8,-150.409
-99023.4,-150.46
-98828.1,-150.442
-98632.8,-150.479
-98437.5,-150.405
-98242.2,-150.467
-98046.9,-150.5
-97851.6,-150.388
-97656.2,-150.267
-97460.9,-150.366
-97265.6,-150.563
-97070.3,-150.609
-96875,-150.554
-96679.7,-150.669
-96484.4,-150.857
-96289.1,-150.889
-96093.8,-150.947
-95898.4,-150.953
-95703.1,-150.765
-95507.8,-150.501
-95312.5,-150.011
-95117.2,-149.274
-94921.9,-148.145
-94726.6,-147.175
-94531.2,-145.957
-94335.9,-144.727
-94140.6,-143.329
-93945.3,-142.313
-93750,-140.975
-93554.7,-139.788
-93359.4,-138.75
-93164.1,-137.413
-92968.8,-136.377
-92773.4,-135.541
-92578.1,-134.624
-92382.8,-133.128
-92187.5,-132.685
-91992.2,-131.865
-91796.9,-130.858
-91601.6,-129.737
-91406.2,-129.248
-91210.9,-128.379
-91015.6,-127.66
-90820.3,-126.932
-90625,-126.013
-90429.7,-125.436
-90234.4,-125.042
-90039.1,-124.204
-89843.8,-123.207
-89648.4,-123.071
-89453.1,-122.523
-89257.8,-121.731
-89062.5,-121.157
-88867.2,-120.923
-88671.9,-120.053
-88476.6,-119.672
-88281.2,-119.287
-88085.9,-118.575
-87890.6,-118.196
-87695.3,-117.993
-87500,-117.415
-87304.7,-116.766
-87109.4,-116.834
-86914.1,-116.155
-86718.8,-115.742
-86523.4,-115.405
-86328.1,-115.172
-86132.8,-114.485
-85937.5,-114.476
-85742.2,-114.067
-85546.9,-113.634
-85351.6,-113.425
-85156.2,-113.294
-84960.9,-112.734
-84765.6,-112.307
-84570.3,-112.512
-84375,-112.104
-84179.7,-111.772
-83984.4,-111.426
-83789.1,-111.476
-83593.8,-110.986
-83398.4,-110.97
-83203.1,-110.445
-83007.8,-110.254
-82812.5,-110.26
-82617.2,-110.303
-82421.9,-109.638
-82226.6,-109.561
-82031.2,-109.731
-81835.9,-109.351
-81640.6,-109.081
-81445.3,-109.044
-81250,-108.97
-81054.7,-108.751
-80859.4,-108.818
-80664.1,-108.345
-80468.8,-108.223
-80273.4,-108.268
-80078.1,-108.239
-79882.8,-107.844
-79687.5,-108.03
-79492.2,-107.979
-79296.9,-107.773
-79101.6,-107.874
-78906.2,-107.828
-78710.9,-107.516
-78515.6,-107.346
-78320.3,-107.853
-78125,-107.398
-77929.7,-107.176
-77734.4,-107.233
-77539.1,-107.332
-77343.8,-107.078
-77148.4,-107.221
-76953.1,-107.047
-76757.8,-106.9
-76562.5,-107.211
-76367.2,-107.125
-76171.9,-106.723
-75976.6,-106.922
-75781.2,-107.152
-75585.9,-106.731
-75390.6,-106.637
-75195.3,-106.9
-75000,-106.839
-74804.7,-106.428
-74609.4,-106.831
-74414.1,-106.766
-74218.8,-106.593
-74023.4,-106.665
-73828.1,-106.665
-73632.8,-106.56
-73437.5,-106.735
-73242.2,-106.725
-73046.9,-106.258
-72851.6,-106.637
-72656.2,-106.827
-72460.9,-106.418
-72265.6,-106.19
-72070.3,-106.63
-71875,-106.43
-71679.7,-106.368
-71484.4,-106.477
-71289.1,-106.428
-71093.8,-106.311
-70898.4,-106.607
-70703.1,-106.429
-70507.8,-106.159
-70312.5,-106.357
-70117.2,-106.424
-69921.9,-106.145
-69726.6,-106.218
-69531.2,-106.48
-69335.9,-105.978
-69140.6,-106.15
-68945.3,-106.444
-68750,-106.204
-68554.7,-105.86
-68359.4,-106.382
-68164.1,-106.302
-67968.8,-106.011
-67773.4,-106.135
-67578.1,-106.014
-67382.8,-105.901
-67187.5,-106.134
-66992.2,-106.101
-66796.9,-105.661
-66601.6,-105.924
-66406.2,-106.221
-66210.9,-105.898
-66015.6,-105.815
-65820.3,-106.117
-65625,-105.942
-65429.7,-105.834
-65234.4,-106.052
-65039.1,-105.883
-64843.8,-105.659
-64648.4,-105.929
-64453.1,-106.14
-64257.8,-105.636
-64062.5,-105.85
-63867.2,-105.751
-63671.9,-105.947
-63476.6,-105.781
-63281.2,-105.983
-63085.9,-105.606
-62890.6,-105.838
-62695.3,-106.044
-62500,-105.679
-62304.7,-105.672
-62109.4,-105.898
-61914.1,-105.918
-61718.8,-105.493
-61523.4,-105.876
-61328.1,-105.803
-61132.8,-105.708
-60937.5,-105.737
-60742.2,-105.936
-60546.9,-105.676
-60351.6,-105.914
-60156.2,-105.683
-59960.9,-105.568
-59765.6,-105.858
-59570.3,-106.1
-59375,-105.509
-59179.7,-105.547
-58984.4,-106.152
-58789.1,-105.918
-58593.8,-105.582
-58398.4,-105.646
-58203.1,-105.972
-58007.8,-105.765
-57812.5,-105.982
-57617.2,-105.752
-57421.9,-105.702
-57226.6,-106.054
-57031.2,-106.05
-56835.9,-105.576
-56640.6,-105.622
-56445.3,-106.164
-56250,-105.806
-56054.7,-105.853
-55859.4,-106.006
-55664.1,-105.936
-55468.8,-105.774
-55273.4,-106.25
-55078.1,-105.972
-54882.8,-105.748
-54687.5,-105.888
-54492.2,-106.16
-54296.9,-105.807
-54101.6,-106.002
-53906.2,-106.031
-53710.9,-105.897
-53515.6,-106.118
-53320.3,-106.207
-53125,-105.922
-52929.7,-105.923
-52734.4,-106.569
-52539.1,-106.15
-52343.8,-106.027
-52148.4,-106.405
-51953.1,-106.515
-51757.8,-106.024
-51562.5,-106.453
-51367.2,-106.505
-51171.9,-106.233
-50976.6,-106.435
-50781.2,-106.647
-50585.9,-106.354
-50390.6,-106.51
-50195.3,-106.619
-50000,-106.218
-49804.7,-106.539
-49609.4,-106.857
-49414.1,-106.652
-49218.8,-106.151
-49023.4,-106.949
-48828.1,-106.789
-48632.8,-106.432
-48437.5,-106.49
-48242.2,-106.867
-48046.9,-106.476
-47851.6,-106.817
-47656.2,-106.94
-47460.9,-106.486
-47265.6,-106.8
-47070.3,-107.153
-46875,-106.674
-46679.7,-106.533
-46484.4,-107.129
-46289.1,-106.75
-46093.8,-106.7
-45898.4,-107.068
-45703.1,-106.995
-45507.8,-106.54
-45312.5,-107.189
-45117.2,-107.173
-44921.9,-106.753
-44726.6,-106.805
-44531.2,-107.161
-44335.9,-106.909
-44140.6,-106.937
-43945.3,-107.098
-43750,-106.726
-43554.7,-107.006
-43359.4,-107.194
-43164.1,-106.836
-42968.8,-106.641
-42773.4,-107.181
-42578.1,-107.109
-42382.8,-106.721
-42187.5,-107.039
-41992.2,-107.086
-41796.9,-106.695
-41601.6,-106.781
-41406.2,-107.082
-41210.9,-106.756
-41015.6,-106.799
-40820.3,-106.945
-40625,-106.88
-40429.7,-106.799
-40234.4,-107
-40039.1,-106.495
-39843.8,-106.79
-39648.4,-107.166
-39453.1,-106.931
-39257.8,-106.435
-39062.5,-106.978
-38867.2,-107.207
-38671.9,-106.63
-38476.6,-106.641
-38281.2,-106.869
-38085.9,-106.66
-37890.6,-106.804
-37695.3,-106.767
-37500,-106.516
-37304.7,-106.701
-37109.4,-106.93
-36914.1,-106.553
-36718.8,-106.437
-36523.4,-106.956
-36328.1,-106.508
-36132.8,-106.314
-35937.5,-106.723
-35742.2,-106.722
-35546.9,-106.098
-35351.6,-106.379
-35156.2,-106.594
-34960.9,-106.34
-34765.6,-106.369
-34570.3,-106.347
-34375,-106.187
-34179.7,-106.4
-33984.4,-106.497
-33789.1,-105.973
-33593.8,-105.971
-33398.4,-106.578
-33203.1,-106.279
-33007.8,-105.951
-32812.5,-106.22
-32617.2,-106.254
-32421.9,-105.918
-32226.6,-106.166
-32031.2,-106.236
-31835.9,-105.672
-31640.6,-106.025
-31445.3,-106.335
-31250,-105.796
-31054.7,-105.799
-30859.4,-106.113
-30664.1,-105.938
-30468.8,-105.748
-30273.4,-106.089
-30078.1,-105.692
-29882.8,-105.664
-29687.5,-106.21
-29492.2,-105.883
