frequency_hz,power_db_hz
-100000,-150.656
-99804.7,-150.709
-99609.4,-150.753
-99414.1,-150.665
-99218.8,-150.697
-99023.4,-150.665
-98828.1,-150.63
-98632.8,-150.757
-98437.5,-150.715
-98242.2,-150.673
-98046.9,-150.581
-97851.6,-150.643
-97656.2,-150.725
-97460.9,-150.663
-97265.6,-150.695
-97070.3,-150.715
-96875,-150.809
-96679.7,-150.884
-96484.4,-150.927
-96289.1,-150.967
-96093.8,-151.016
-95898.4,-151.033
-95703.1,-150.884
-95507.8,-150.598
-95312.5,-150.287
-95117.2,-149.727
-94921.9,-149.051
-94726.6,-148.12
-94531.2,-147.145
-94335.9,-145.957
-94140.6,-144.951
-93945.3,-143.655
-93750,-142.492
-93554.7,-141.526
-93359.4,-140.39
-93164.1,-139.253
-92968.8,-138.088
-92773.4,-137.212
-92578.1,-136.127
-92382.8,-135.34
-92187.5,-134.357
-91992.2,-133.371
-91796.9,-132.486
-91601.6,-132.003
-91406.2,-130.802
-91210.9,-130.1
-91015.6,-129.238
-90820.3,-128.593
-90625,-127.716
-90429.7,-127.239
-90234.4,-126.329
-90039.1,-125.862
-89843.8,-125.155
-89648.4,-124.731
-89453.1,-123.994
-89257.8,-123.631
-89062.5,-122.962
-88867.2,-122.542
-88671.9,-121.995
-88476.6,-121.433
-88281.2,-120.694
-88085.9,-120.497
-87890.6,-120.044
-87695.3,-119.52
-87500,-118.899
-87304.7,-118.631
-87109.4,-118.251
-86914.1,-117.731
-86718.8,-117.484
-86523.4,-116.795
-86328.1,-116.551
-86132.8,-116.514
-85937.5,-115.962
-85742.2,-115.569
-85546.9,-115.544
-85351.6,-115.187
-85156.2,-114.788
-84960.9,-114.683
-84765.6,-114.276
-84570.3,-114.014
-84375,-113.772
-84179.7,-113.701
-83984.4,-113.218
-83789.1,-112.919
-83593.8,-112.8
-83398.4,-112.638
-83203.1,-112.091
-83007.8,-112.252
-82812.5,-111.874
-82617.2,-111.598
-82421.9,-111.65
-82226.6,-111.611
-82031.2,-110.821
-81835.9,-111.012
-81640.6,-110.822
-81445.3,-110.6
-81250,-110.53
-81054.7,-110.487
-80859.4,-110.288
-80664.1,-110.289
-80468.8,-110.274
-80273.4,-110.136
-80078.1,-109.802
-79882.8,-109.792
-79687.5,-109.692
-79492.2,-109.548
-79296.9,-109.501
-79101.6,-109.275
-78906.2,-109.25
-78710.9,-109.344
-78515.6,-109.229
-78320.3,-108.767
-78125,-109.073
-77929.7,-108.905
-77734.4,-109.05
-77539.1,-108.671
-77343.8,-108.868
-77148.4,-108.832
-76953.1,-108.897
-76757.8,-108.696
-76562.5,-108.716
-76367.2,-108.704
-76171.9,-108.932
-75976.6,-108.641
-75781.2,-108.643
-75585.9,-108.464
-75390.6,-108.598
-75195.3,-108.303
-75000,-108.36
-74804.7,-108.263
-74609.4,-108.284
-74414.1,-108.317
-74218.8,-108.489
-74023.4,-108.342
-73828.1,-108.087
-73632.8,-108.329
-73437.5,-108.455
-73242.2,-108.205
-73046.9,-108.165
-72851.6,-108.233
-72656.2,-108.218
-72460.9,-108.306
-72265.6,-108.282
-72070.3,-108.017
-71875,-108.266
-71679.7,-108.345
-71484.4,-107.965
-71289.1,-107.989
-71093.8,-108.176
-70898.4,-107.877
-70703.1,-108
-70507.8,-107.991
-70312.5,-107.887
-70117.2,-107.938
-69921.9,-108.104
-69726.6,-107.795
-69531.2,-108.074
-69335.9,-108.006
-69140.6,-107.78
-68945.3,-107.932
-68750,-108.272
-68554.7,-107.788
-68359.4,-107.766
-68164.1,-107.876
-67968.8,-107.954
-67773.4,-107.838
-67578.1,-107.867
-67382.8,-107.645
-67187.5,-107.781
-66992.2,-107.787
-66796.9,-107.772
-66601.6,-107.551
-66406.2,-107.672
-66210.9,-107.838
-66015.6,-107.633
-65820.3,-107.78
-65625,-107.626
-65429.7,-107.693
-65234.4,-107.764
-65039.1,-107.906
-64843.8,-107.442
-64648.4,-107.728
-64453.1,-107.476
-64257.8,-107.77
-64062.5,-107.581
-63867.2,-107.532
-63671.9,-107.429
-63476.6,-107.819
-63281.2,-107.509
-63085.9,-107.486
-62890.6,-107.44
-62695.3,-107.636
-62500,-107.482
-62304.7,-107.568
-62109.4,-107.415
-61914.1,-107.455
-61718.8,-107.364
-61523.4,-107.537
-61328.1,-107.496
-61132.8,-107.495
-60937.5,-107.412
-60742.2,-107.368
-60546.9,-107.454
-60351.6,-107.462
-60156.2,-107.362
-59960.9,-107.43
-59765.6,-107.588
-59570.3,-107.617
-59375,-107.552
-59179.7,-107.367
-58984.4,-107.51
-58789.1,-107.658
-58593.8,-107.473
-58398.4,-107.373
-58203.1,-107.53
-58007.8,-107.436
-57812.5,-107.49
-57617.2,-107.273
-57421.9,-107.309
-57226.6,-107.516
-57031.2,-107.469
-56835.9,-107.543
-56640.6,-107.478
-56445.3,-107.633
-56250,-107.577
-56054.7,-107.716
-55859.4,-107.568
-55664.1,-107.562
-55468.8,-107.53
-55273.4,-107.711
-55078.1,-107.526
-54882.8,-107.529
-54687.5,-107.492
-54492.2,-107.542
-54296.9,-107.454
-54101.6,-107.607
-53906.2,-107.467
-53710.9,-107.564
-53515.6,-107.583
-53320.3,-107.607
-53125,-107.541
-52929.7,-107.65
-52734.4,-107.883
-52539.1,-107.552
-52343.8,-107.836
-52148.4,-107.695
-51953.1,-107.734
-51757.8,-107.696
-51562.5,-108.037
-51367.2,-107.688
-51171.9,-107.782
-50976.6,-107.637
-50781.2,-107.879
-50585.9,-107.64
-50390.6,-107.846
-50195.3,-107.61
-50000,-107.929
-49804.7,-107.953
-49609.4,-108.151
-49414.1,-107.699
-49218.8,-108.009
-49023.4,-108.12
-48828.1,-108.242
-48632.8,-107.939
-48437.5,-108.137
-48242.2,-108.041
-48046.9,-108.146
-47851.6,-108.386
-47656.2,-108.014
-47460.9,-107.959
-47265.6,-108.417
-47070.3,-108.166
-46875,-108.045
-46679.7,-108.197
-46484.4,-108.296
-46289.1,-108.296
-46093.8,-108.451
-45898.4,-108.417
-45703.1,-108.174
-45507.8,-108.539
-45312.5,-108.521
-45117.2,-108.38
-44921.9,-108.376
-44726.6,-108.675
-44531.2,-108.363
-44335.9,-108.447
-44140.6,-108.528
-43945.3,-108.378
-43750,-108.539
-43554.7,-108.71
-43359.4,-108.594
-43164.1,-108.624
-42968.8,-108.566
-42773.4,-108.536
-42578.1,-108.46
-42382.8,-108.636
-42187.5,-108.6
-41992.2,-108.343
-41796.9,-108.518
-41601.6,-108.628
-41406.2,-108.579
-41210.9,-108.475
-41015.6,-108.575
-40820.3,-108.662
-40625,-108.605
-40429.7,-108.709
-40234.4,-108.672
-40039.1,-108.59
-39843.8,-108.579
-39648.4,-108.709
-39453.1,-108.442
-39257.8,-108.488
-39062.5,-108.564
-38867.2,-108.511
-38671.9,-108.49
-38476.6,-108.544
-38281.2,-108.438
-38085.9,-108.508
-37890.6,-108.593
-37695.3,-108.501
-37500,-108.21
-37304.7,-108.651
-37109.4,-108.495
-36914.1,-108.558
-36718.8,-108.389
-36523.4,-108.601
-36328.1,-108.398
-36132.8,-108.46
-35937.5,-108.076
-35742.2,-108.327
-35546.9,-108.508
-35351.6,-108.401
-35156.2,-107.921
-34960.9,-108.316
-34765.6,-108.159
-34570.3,-108.075
-34375,-108.047
-34179.7,-108.019
-33984.4,-107.93
-33789.1,-108.043
-33593.8,-107.853
-33398.4,-107.882
-33203.1,-108.01
-33007.8,-107.829
-32812.5,-107.908
-32617.2,-107.985
-32421.9,-108.312
-32226.6,-107.836
-32031.2,-107.789
-31835.9,-107.839
-31640.6,-108.061
-31445.3,-107.594
-31250,-107.504
-31054.7,-107.676
-30859.4,-107.938
-30664.1,-107.54
-30468.8,-107.558
-30273.4,-107.599
-30078.1,-107.628
-29882.8,-107.605
-29687.5,-107.662
-29492.2,-107.464
-29296.9,-107.479
-29101.6,-107.642
-28906.2,-107.41
-28710.9,-107.329
-28515.6,-107.395
