frequency_hz,power_db_hz
-100000,-150.931
-99804.7,-150.825
-99609.4,-150.871
-99414.1,-150.915
-99218.8,-150.866
-99023.4,-150.841
-98828.1,-150.845
-98632.8,-150.904
-98437.5,-150.828
-98242.2,-150.719
-98046.9,-150.778
-97851.6,-150.846
-97656.2,-150.819
-97460.9,-150.811
-97265.6,-150.856
-97070.3,-150.891
-96875,-150.881
-96679.7,-150.868
-96484.4,-150.963
-96289.1,-151.005
-96093.8,-151.158
-95898.4,-151.026
-95703.1,-150.971
-95507.8,-150.94
-95312.5,-150.747
-95117.2,-150.31
-94921.9,-149.856
-94726.6,-149.294
-94531.2,-148.494
-94335.9,-147.692
-94140.6,-146.781
-93945.3,-145.741
-93750,-144.478
-93554.7,-143.603
-93359.4,-142.749
-93164.1,-141.537
-92968.8,-140.414
-92773.4,-139.511
-92578.1,-138.702
-92382.8,-137.642
-92187.5,-136.74
-91992.2,-135.697
-91796.9,-135.003
-91601.6,-134.309
-91406.2,-133.536
-91210.9,-132.571
-91015.6,-131.886
-90820.3,-131.15
-90625,-130.429
-90429.7,-129.74
-90234.4,-128.821
-90039.1,-128.311
-89843.8,-127.781
-89648.4,-127.105
-89453.1,-126.353
-89257.8,-125.933
-89062.5,-125.437
-88867.2,-124.916
-88671.9,-124.192
-88476.6,-123.533
-88281.2,-123.282
-88085.9,-122.809
-87890.6,-122.198
-87695.3,-121.66
-87500,-121.284
-87304.7,-120.971
-87109.4,-120.772
-86914.1,-120.088
-86718.8,-119.714
-86523.4,-119.447
-86328.1,-118.939
-86132.8,-118.458
-85937.5,-118.137
-85742.2,-117.79
-85546.9,-117.343
-85351.6,-117.137
-85156.2,-116.756
-84960.9,-116.712
-84765.6,-116.402
-84570.3,-115.968
-84375,-115.532
-84179.7,-115.499
-83984.4,-115.443
-83789.1,-115.043
-83593.8,-114.717
-83398.4,-114.509
-83203.1,-114.518
-83007.8,-114.085
-82812.5,-113.784
-82617.2,-113.715
-82421.9,-113.674
-82226.6,-113.436
