frequency_hz,power_db_hz
-100000,-150.903
-99804.7,-150.998
-99609.4,-150.997
-99414.1,-151.001
-99218.8,-151.01
-99023.4,-151.071
-98828.1,-151.047
-98632.8,-151.055
-98437.5,-151.034
-98242.2,-151.001
-98046.9,-151.013
-97851.6,-151.009
-97656.2,-150.97
-97460.9,-150.997
-97265.6,-151.094
-97070.3,-151.029
-96875,-150.954
-96679.7,-150.963
-96484.4,-151.027
-96289.1,-150.986
-96093.8,-151.035
-95898.4,-151.048
-95703.1,-151.026
-95507.8,-150.94
-95312.5,-150.897
-95117.2,-150.815
-94921.9,-150.536
-94726.6,-150.283
-94531.2,-150.101
-94335.9,-149.651
-94140.6,-149.256
-93945.3,-148.677
-93750,-147.97
-93554.7,-147.21
-93359.4,-146.384
-93164.1,-145.657
-92968.8,-144.917
-92773.4,-144.023
-92578.1,-143.223
-92382.8,-142.297
-92187.5,-141.459
-91992.2,-140.678
-91796.9,-139.858
-91601.6,-139.058
-91406.2,-138.233
-91210.9,-137.404
-91015.6,-136.757
-90820.3,-136.051
-90625,-135.382
-90429.7,-134.666
-90234.4,-133.977
-90039.1,-133.385
-89843.8,-132.719
-89648.4,-132.15
-89453.1,-131.543
-89257.8,-130.924
-89062.5,-130.45
-88867.2,-129.953
-88671.9,-129.402
-88476.6,-128.891
-88281.2,-128.364
-88085.9,-127.912
-87890.6,-127.392
-87695.3,-126.924
-87500,-126.529
-87304.7,-126.162
-87109.4,-125.715
-86914.1,-125.357
-86718.8,-125.043
-86523.4,-124.514
-86328.1,-124.08
-86132.8,-123.725
-85937.5,-123.467
-85742.2,-123.138
-85546.9,-122.823
-85351.6,-122.455
-85156.2,-122.101
-84960.9,-121.897
-84765.6,-121.615
-84570.3,-121.379
-84375,-121.109
-84179.7,-120.802
-83984.4,-120.575
-83789.1,-120.274
-83593.8,-120.011
-83398.4,-119.751
-83203.1,-119.46
-83007.8,-119.303
-82812.5,-119.109
-82617.2,-118.937
-82421.9,-118.727
-82226.6,-118.599
-82031.2,-118.444
-81835.9,-118.295
-81640.6,-118.072
-81445.3,-117.942
-81250,-117.81
-81054.7,-117.614
-80859.4,-117.439
-80664.1,-117.299
-80468.8,-117.174
-80273.4,-117.063
-80078.1,-116.953
-79882.8,-116.84
-79687.5,-116.774
-79492.2,-116.71
-79296.9,-116.631
-79101.6,-116.521
-78906.2,-116.503
-78710.9,-116.384
-78515.6,-116.25
-78320.3,-116.265
-78125,-116.207
-77929.7,-116.097
-77734.4,-116.092
-77539.1,-115.904
-77343.8,-115.792
-77148.4,-115.842
-76953.1,-115.8
-76757.8,-115.738
-76562.5,-115.703
-76367.2,-115.634
-76171.9,-115.652
-75976.6,-115.588
-75781.2,-115.443
-75585.9,-115.516
-75390.6,-115.519
-75195.3,-115.49
-75000,-115.465
-74804.7,-115.443
-74609.4,-115.359
-74414.1,-115.376
-74218.8,-115.321
-74023.4,-115.274
-73828.1,-115.328
-73632.8,-115.34
-73437.5,-115.329
-73242.2,-115.346
-73046.9,-115.241
-72851.6,-115.277
-72656.2,-115.248
-72460.9,-115.253
-72265.6,-115.184
-72070.3,-115.001
-71875,-115.014
-71679.7,-115.037
-71484.4,-115.049
-71289.1,-115.159
-71093.8,-115.174
-70898.4,-115.115
-70703.1,-115.088
-70507.8,-115.043
-70312.5,-115.15
-70117.2,-115.116
-69921.9,-114.993
-69726.6,-115.029
-69531.2,-115.022
-69335.9,-114.988
-69140.6,-114.938
-68945.3,-115.009
-68750,-114.98
-68554.7,-114.921
-68359.4,-114.962
-68164.1,-114.939
-67968.8,-114.967
-67773.4,-114.955
-67578.1,-114.992
-67382.8,-114.926
-67187.5,-114.932
-66992.2,-114.915
-66796.9,-114.857
-66601.6,-114.866
-66406.2,-114.81
-66210.9,-114.842
-66015.6,-114.903
-65820.3,-114.934
-65625,-114.859
-65429.7,-114.751
-65234.4,-114.83
-65039.1,-114.935
-64843.8,-114.916
-64648.4,-114.791
-64453.1,-114.841
-64257.8,-114.909
-64062.5,-114.885
-63867.2,-114.844
-63671.9,-114.885
-63476.6,-114.892
-63281.2,-114.892
-63085.9,-114.859
-62890.6,-114.848
-62695.3,-114.908
-62500,-114.956
-62304.7,-114.873
-62109.4,-114.899
-61914.1,-114.989
-61718.8,-114.98
-61523.4,-114.943
-61328.1,-114.938
-61132.8,-114.868
-60937.5,-114.915
-60742.2,-114.902
-60546.9,-114.879
-60351.6,-114.927
-60156.2,-114.969
-59960.9,-114.933
-59765.6,-114.915
-59570.3,-114.973
-59375,-115.053
-59179.7,-115.046
-58984.4,-114.952
-58789.1,-114.931
-58593.8,-114.997
-58398.4,-115.033
-58203.1,-114.949
-58007.8,-114.91
-57812.5,-115.006
-57617.2,-115.051
-57421.9,-115.072
-57226.6,-115.088
-57031.2,-114.998
-56835.9,-114.984
-56640.6,-114.947
-56445.3,-115.035
-56250,-115.042
-56054.7,-115.073
-55859.4,-115.041
-55664.1,-115.037
-55468.8,-115.101
-55273.4,-115.178
-55078.1,-115.156
-54882.8,-115.119
-54687.5,-115.114
-54492.2,-115.168
-54296.9,-115.177
-54101.6,-115.214
-53906.2,-115.188
-53710.9,-115.209
-53515.6,-115.222
-53320.3,-115.18
-53125,-115.217
-52929.7,-115.252
-52734.4,-115.271
-52539.1,-115.226
-52343.8,-115.268
-52148.4,-115.266
-51953.1,-115.26
-51757.8,-115.384
-51562.5,-115.422
-51367.2,-115.412
-51171.9,-115.341
-50976.6,-115.377
-50781.2,-115.467
-50585.9,-115.429
-50390.6,-115.454
-50195.3,-115.412
-50000,-115.472
-49804.7,-115.558
-49609.4,-115.489
-49414.1,-115.542
-49218.8,-115.513
-49023.4,-115.425
-48828.1,-115.351
-48632.8,-115.453
-48437.5,-115.518
-48242.2,-115.5
-48046.9,-115.573
-47851.6,-115.595
-47656.2,-115.607
-47460.9,-115.527
-47265.6,-115.529
-47070.3,-115.607
-46875,-115.655
-46679.7,-115.566
-46484.4,-115.519
-46289.1,-115.462
-46093.8,-115.579
-45898.4,-115.596
-45703.1,-115.614
-45507.8,-115.625
-45312.5,-115.625
-45117.2,-115.536
-44921.9,-115.567
-44726.6,-115.593
-44531.2,-115.614
-44335.9,-115.622
-44140.6,-115.571
-43945.3,-115.584
-43750,-115.742
-43554.7,-115.659
-43359.4,-115.568
-43164.1,-115.579
-42968.8,-115.62
-42773.4,-115.646
-42578.1,-115.646
-42382.8,-115.591
-42187.5,-115.522
-41992.2,-115.59
-41796.9,-115.638
-41601.6,-115.618
-41406.2,-115.55
-41210.9,-115.551
-41015.6,-115.552
-40820.3,-115.593
-40625,-115.674
-40429.7,-115.596
-40234.4,-115.556
-40039.1,-115.517
-39843.8,-115.546
-39648.4,-115.602
-39453.1,-115.555
-39257.8,-115.536
-39062.5,-115.571
-38867.2,-115.56
-38671.9,-115.525
-38476.6,-115.471
-38281.2,-115.45
-38085.9,-115.478
-37890.6,-115.465
-37695.3,-115.491
-37500,-115.451
-37304.7,-115.4
-37109.4,-115.378
-36914.1,-115.466
-36718.8,-115.394
-36523.4,-115.33
-36328.1,-115.336
-36132.8,-115.372
-35937.5,-115.332
-35742.2,-115.345
-35546.9,-115.269
-35351.6,-115.309
-35156.2,-115.317
-34960.9,-115.292
-34765.6,-115.259
-34570.3,-115.174
-34375,-115.258
-34179.7,-115.284
-33984.4,-115.194
-33789.1,-115.195
-33593.8,-115.237
-33398.4,-115.185
-33203.1,-115.121
-33007.8,-115.101
-32812.5,-115.037
-32617.2,-115
-32421.9,-115.089
-32226.6,-115.121
-32031.2,-115.114
-31835.9,-115.062
-31640.6,-115.003
-31445.3,-114.975
-31250,-114.918
-31054.7,-114.947
-30859.4,-114.91
-30664.1,-115.006
-30468.8,-114.917
-30273.4,-114.769
-30078.1,-114.813
-29882.8,-114.896
-29687.5,-114.893
-29492.2,-114.81
-29296.9,-114.888
-29101.6,-114.829
-28906.2,-114.74
-28710.9,-114.748
-28515.6,-114.677
-28320.3,-114.676
-28125,-114.735
-27929.7,-114.695
-27734.4,-114.707
-27539.1,-114.728
-27343.8,-114.677
-27148.4,-114.616
-26953.1,-114.652
-26757.8,-114.591
-26562.5,-114.596
-26367.2,-114.643
-26171.9,-114.636
-25976.6,-114.55
-25781.2,-114.469
-25585.9,-114.469
-25390.6,-114.53
-25195.3,-114.514
-25000,-114.532
-24804.7,-114.518
-24609.4,-114.459
-24414.1,-114.501
-24218.8,-114.513
-24023.4,-114.514
-23828.1,-114.466
-23632.8,-114.449
-23437.5,-114.438
-23242.2,-114.47
-23046.9,-114.353
-22851.6,-114.302
-22656.2,-114.379
-22460.9,-114.379
-22265.6,-114.374
-22070.3,-114.112
-21875,-114.203
-21679.7,-114.307
-21484.4,-114.374
-21289.1,-114.301
-21093.8,-114.3
-20898.4,-114.309
-20703.1,-114.304
-20507.8,-114.263
-20312.5,-114.155
-20117.2,-114.256
-19921.9,-114.268
-19726.6,-114.263
-19531.2,-114.268
-19335.9,-114.164
-19140.6,-114.155
-18945.3,-114.212
-18750,-114.201
-18554.7,-114.153
-18359.4,-114.172
-18164.1,-114.187
-17968.8,-114.244
-17773.4,-114.153
-17578.1,-114.176
-17382.8,-114.213
-17187.5,-114.229
-16992.2,-114.231
-16796.9,-114.177
-16601.6,-114.149
-16406.2,-114.147
-16210.9,-114.116
-16015.6,-114.177
-15820.3,-114.179
-15625,-114.22
-15429.7,-114.223
-15234.4,-114.221
-15039.1,-114.224
-14843.8,-114.218
-14648.4,-114.242
-14453.1,-114.203
-14257.8,-114.153
-14062.5,-114.212
-13867.2,-114.234
-13671.9,-114.146
-13476.6,-114.065
-13281.2,-112.343
-13085.9,-110.572
-12890.6,-113.337
-12695.3,-114.107
-12500,-114.098
-12304.7,-114.131
-12109.4,-114.028
-11914.1,-114.032
-11718.8,-114.105
-11523.4,-114.115
-11328.1,-114.105
-11132.8,-114.105
-10937.5,-114.017
-10742.2,-113.983
-10546.9,-113.982
-10351.6,-114.014
-10156.2,-114
-9960.94,-113.941
-9765.62,-113.93
-9570.31,-114.007
-9375,-113.948
-9179.69,-113.897
-8984.38,-113.921
-8789.06,-113.879
-8593.75,-113.898
-8398.44,-113.852
-8203.12,-113.812
-8007.81,-113.849
-7812.5,-113.82
-7617.19,-113.768
-7421.88,-113.739
-7226.56,-113.698
-7031.25,-113.683
-6835.94,-113.652
-6640.62,-113.578
-6445.31,-113.599
-6250,-113.509
-6054.69,-113.427
-5859.38,-113.319
-5664.06,-113.226
-5468.75,-113.221
-5273.44,-113.182
-5078.12,-113.072
-4882.81,-113.059
-4687.5,-113.014
-4492.19,-112.99
-4296.88,-112.922
-4101.56,-112.783
-3906.25,-112.65
-3710.94,-112.511
-3515.62,-112.407
-3320.31,-112.268
-3125,-112.112
-2929.69,-111.981
-2734.38,-111.75
-2539.06,-111.539
-2343.75,-111.313
-2148.44,-111.111
-1953.12,-110.924
-1757.81,-110.672
-1562.5,-110.285
-1367.19,-109.855
-1171.88,-109.371
-976.562,-108.767
-781.25,-108.005
-585.938,-106.987
-390.625,-105.396
-195.312,-99.548
0,-95.3675
195.312,-99.6569
390.625,-105.31
585.938,-106.913
781.25,-108.045
976.562,-108.798
1171.88,-109.382
1367.19,-109.803
1562.5,-110.273
1757.81,-110.62
1953.12,-110.95
2148.44,-111.199
2343.75,-111.45
2539.06,-111.632
2734.38,-111.819
2929.69,-112.103
3125,-112.192
3320.31,-112.252
3515.62,-112.393
3710.94,-112.464
3906.25,-112.577
4101.56,-112.713
4296.88,-112.835
4492.19,-112.83
4687.5,-112.936
4882.81,-113.071
5078.12,-113.183
5273.44,-113.266
5468.75,-113.273
5664.06,-113.367
5859.38,-113.416
6054.69,-113.403
6250,-113.455
6445.31,-113.543
6640.62,-113.621
