frequency_hz,power_db_hz
-100000,-151.016
-99804.7,-150.996
-99609.4,-151.017
-99414.1,-151.066
-99218.8,-151.042
-99023.4,-151.001
-98828.1,-150.938
-98632.8,-150.958
-98437.5,-151.037
-98242.2,-151.076
-98046.9,-151.064
-97851.6,-151.052
-97656.2,-151.052
-97460.9,-150.946
-97265.6,-151.004
-97070.3,-151.045
-96875,-151.021
-96679.7,-151.019
-96484.4,-151.033
-96289.1,-151.056
-96093.8,-151.104
-95898.4,-151.086
-95703.1,-151.029
-95507.8,-151.009
-95312.5,-150.985
-95117.2,-150.791
-94921.9,-150.601
-94726.6,-150.495
-94531.2,-150.255
-94335.9,-149.773
-94140.6,-149.229
-93945.3,-148.614
-93750,-147.913
-93554.7,-147.201
-93359.4,-146.565
-93164.1,-145.784
-92968.8,-144.912
-92773.4,-143.97
-92578.1,-143.11
-92382.8,-142.306
-92187.5,-141.488
-91992.2,-140.684
-91796.9,-139.794
-91601.6,-139.021
-91406.2,-138.292
-91210.9,-137.534
-91015.6,-136.803
-90820.3,-136.062
-90625,-135.44
-90429.7,-134.748
-90234.4,-134.055
-90039.1,-133.441
-89843.8,-132.732
-89648.4,-132.206
-89453.1,-131.645
-89257.8,-131.113
-89062.5,-130.543
-88867.2,-129.936
-88671.9,-129.448
-88476.6,-128.985
-88281.2,-128.398
-88085.9,-127.939
-87890.6,-127.516
-87695.3,-126.978
-87500,-126.526
-87304.7,-126.129
-87109.4,-125.764
-86914.1,-125.272
-86718.8,-124.912
-86523.4,-124.571
-86328.1,-124.194
-86132.8,-123.865
-85937.5,-123.462
-85742.2,-123.083
-85546.9,-122.724
-85351.6,-122.524
-85156.2,-122.159
-84960.9,-121.776
-84765.6,-121.542
-84570.3,-121.295
-84375,-121.022
-84179.7,-120.767
-83984.4,-120.554
-83789.1,-120.266
-83593.8,-120.044
-83398.4,-119.872
-83203.1,-119.625
-83007.8,-119.438
-82812.5,-119.259
-82617.2,-119.017
-82421.9,-118.757
-82226.6,-118.59
-82031.2,-118.464
-81835.9,-118.289
-81640.6,-118.121
-81445.3,-117.972
-81250,-117.748
-81054.7,-117.58
-80859.4,-117.539
-80664.1,-117.393
-80468.8,-117.288
-80273.4,-117.143
-80078.1,-117.059
-79882.8,-116.946
-79687.5,-116.807
-79492.2,-116.752
-79296.9,-116.612
-79101.6,-116.531
-78906.2,-116.47
-78710.9,-116.489
-78515.6,-116.387
-78320.3,-116.27
-78125,-116.16
-77929.7,-116.038
-77734.4,-116.048
-77539.1,-115.891
-77343.8,-115.869
-77148.4,-115.902
-76953.1,-115.814
-76757.8,-115.757
-76562.5,-115.78
-76367.2,-115.695
-76171.9,-115.687
-75976.6,-115.632
-75781.2,-115.564
-75585.9,-115.56
-75390.6,-115.545
-75195.3,-115.441
-75000,-115.487
-74804.7,-115.477
-74609.4,-115.423
-74414.1,-115.376
-74218.8,-115.353
-74023.4,-115.379
-73828.1,-115.331
-73632.8,-115.303
-73437.5,-115.251
-73242.2,-115.252
-73046.9,-115.258
-72851.6,-115.195
-72656.2,-115.242
-72460.9,-115.203
-72265.6,-115.19
-72070.3,-115.252
-71875,-115.237
-71679.7,-115.167
-71484.4,-115.142
-71289.1,-115.15
-71093.8,-115.118
-70898.4,-115.104
-70703.1,-115.122
-70507.8,-115.064
-70312.5,-115.157
-70117.2,-115.093
-69921.9,-115.082
-69726.6,-115.079
-69531.2,-115.016
-69335.9,-114.996
-69140.6,-115.023
-68945.3,-115.054
-68750,-115.038
-68554.7,-115.057
-68359.4,-115.033
-68164.1,-115.011
-67968.8,-115.006
-67773.4,-114.987
-67578.1,-114.98
-67382.8,-114.987
-67187.5,-114.896
-66992.2,-114.94
-66796.9,-114.943
-66601.6,-114.916
-66406.2,-114.922
-66210.9,-114.919
-66015.6,-114.86
-65820.3,-114.935
-65625,-114.929
-65429.7,-114.908
-65234.4,-114.958
-65039.1,-114.95
-64843.8,-114.938
-64648.4,-114.926
-64453.1,-114.984
-64257.8,-114.972
-64062.5,-114.954
-63867.2,-114.874
-63671.9,-114.909
-63476.6,-115.005
-63281.2,-115.026
-63085.9,-114.875
-62890.6,-114.855
-62695.3,-114.859
-62500,-114.883
-62304.7,-114.937
-62109.4,-114.988
-61914.1,-114.992
-61718.8,-115.017
-61523.4,-115.004
-61328.1,-114.947
-61132.8,-114.952
-60937.5,-114.925
-60742.2,-114.932
-60546.9,-114.971
-60351.6,-114.895
-60156.2,-114.986
-59960.9,-115.074
-59765.6,-115.035
-59570.3,-115.068
-59375,-114.969
-59179.7,-115.039
-58984.4,-114.99
-58789.1,-114.988
-58593.8,-115.03
-58398.4,-115.028
-58203.1,-115.031
-58007.8,-115
-57812.5,-115.02
-57617.2,-115.047
-57421.9,-115.062
-57226.6,-115.068
-57031.2,-115.096
-56835.9,-115.108
-56640.6,-115.122
-56445.3,-115.114
-56250,-115.186
-56054.7,-115.127
-55859.4,-115.025
-55664.1,-115.098
-55468.8,-115.225
-55273.4,-115.22
-55078.1,-115.198
-54882.8,-115.209
-54687.5,-115.221
-54492.2,-115.19
-54296.9,-115.181
-54101.6,-115.192
-53906.2,-115.214
-53710.9,-115.267
-53515.6,-115.341
-53320.3,-115.377
-53125,-115.218
-52929.7,-115.248
-52734.4,-115.39
-52539.1,-115.321
-52343.8,-115.308
-52148.4,-115.389
-51953.1,-115.296
-51757.8,-115.342
-51562.5,-115.36
-51367.2,-115.397
-51171.9,-115.395
-50976.6,-115.346
-50781.2,-115.4
-50585.9,-115.47
-50390.6,-115.478
-50195.3,-115.496
-50000,-115.499
-49804.7,-115.444
-49609.4,-115.527
-49414.1,-115.625
-49218.8,-115.625
-49023.4,-115.443
