frequency_hz,power_db_hz
-100000,-150.994
-99804.7,-151.07
-99609.4,-151.059
-99414.1,-151.061
-99218.8,-150.971
-99023.4,-150.979
-98828.1,-151.008
-98632.8,-150.984
-98437.5,-150.976
-98242.2,-151.012
-98046.9,-150.922
-97851.6,-150.939
-97656.2,-150.947
-97460.9,-150.903
-97265.6,-150.996
-97070.3,-150.961
-96875,-151.055
-96679.7,-151.149
-96484.4,-151.092
-96289.1,-151.202
-96093.8,-151.173
-95898.4,-151.028
-95703.1,-151.023
-95507.8,-151.012
-95312.5,-150.965
-95117.2,-150.897
-94921.9,-150.688
-94726.6,-150.398
-94531.2,-150.168
-94335.9,-149.767
-94140.6,-149.215
-93945.3,-148.65
-93750,-147.974
-93554.7,-147.264
-93359.4,-146.518
-93164.1,-145.678
-92968.8,-144.786
-92773.4,-144.026
-92578.1,-143.247
-92382.8,-142.459
-92187.5,-141.569
-91992.2,-140.731
-91796.9,-139.983
-91601.6,-139.202
-91406.2,-138.394
-91210.9,-137.644
-91015.6,-136.907
-90820.3,-136.113
-90625,-135.401
-90429.7,-134.715
-90234.4,-134.031
-90039.1,-133.409
-89843.8,-132.861
-89648.4,-132.32
-89453.1,-131.653
-89257.8,-131.104
-89062.5,-130.509
-88867.2,-130.005
-88671.9,-129.516
-88476.6,-128.914
-88281.2,-128.382
-88085.9,-127.906
-87890.6,-127.466
-87695.3,-127.005
-87500,-126.498
-87304.7,-126.108
-87109.4,-125.724
-86914.1,-125.212
-86718.8,-124.951
-86523.4,-124.508
-86328.1,-124.126
-86132.8,-123.844
-85937.5,-123.452
-85742.2,-123.081
-85546.9,-122.789
-85351.6,-122.516
-85156.2,-122.149
-84960.9,-121.862
-84765.6,-121.532
-84570.3,-121.308
-84375,-121.122
-84179.7,-120.792
-83984.4,-120.556
-83789.1,-120.274
-83593.8,-120.024
-83398.4,-119.729
-83203.1,-119.471
-83007.8,-119.281
-82812.5,-119.184
-82617.2,-118.998
-82421.9,-118.756
-82226.6,-118.634
-82031.2,-118.469
-81835.9,-118.332
-81640.6,-118.059
-81445.3,-117.906
-81250,-117.851
-81054.7,-117.633
-80859.4,-117.413
-80664.1,-117.367
-80468.8,-117.246
-80273.4,-117.078
-80078.1,-116.937
-79882.8,-116.917
-79687.5,-116.84
-79492.2,-116.77
-79296.9,-116.646
-79101.6,-116.561
-78906.2,-116.42
-78710.9,-116.411
-78515.6,-116.298
-78320.3,-116.096
-78125,-116.084
-77929.7,-116.093
-77734.4,-116.043
-77539.1,-115.994
-77343.8,-116.012
-77148.4,-115.861
-76953.1,-115.742
-76757.8,-115.717
-76562.5,-115.67
-76367.2,-115.651
-76171.9,-115.75
-75976.6,-115.723
-75781.2,-115.654
-75585.9,-115.678
-75390.6,-115.609
-75195.3,-115.604
-75000,-115.535
-74804.7,-115.524
-74609.4,-115.431
-74414.1,-115.41
-74218.8,-115.427
-74023.4,-115.384
-73828.1,-115.384
-73632.8,-115.28
-73437.5,-115.359
-73242.2,-115.324
-73046.9,-115.313
-72851.6,-115.273
-72656.2,-115.227
-72460.9,-115.244
-72265.6,-115.231
-72070.3,-115.246
-71875,-115.192
-71679.7,-115.205
-71484.4,-115.164
-71289.1,-115.168
-71093.8,-115.252
-70898.4,-115.134
-70703.1,-115.111
-70507.8,-115.099
-70312.5,-115.079
-70117.2,-115.061
-69921.9,-115.005
-69726.6,-115.041
-69531.2,-115.135
-69335.9,-115.107
-69140.6,-115.007
-68945.3,-115.081
-68750,-115.044
-68554.7,-115.035
-68359.4,-115.009
-68164.1,-114.995
-67968.8,-114.994
-67773.4,-114.96
-67578.1,-115.013
-67382.8,-114.929
-67187.5,-114.977
-66992.2,-114.962
-66796.9,-114.965
-66601.6,-114.955
-66406.2,-114.977
-66210.9,-114.987
-66015.6,-114.911
-65820.3,-114.887
-65625,-114.971
-65429.7,-115.036
-65234.4,-114.938
-65039.1,-114.971
-64843.8,-114.895
-64648.4,-114.917
-64453.1,-114.992
-64257.8,-114.931
-64062.5,-114.914
-63867.2,-114.935
-63671.9,-114.909
-63476.6,-114.954
-63281.2,-114.944
-63085.9,-115.025
-62890.6,-114.919
-62695.3,-114.915
-62500,-114.914
-62304.7,-114.885
-62109.4,-114.901
-61914.1,-114.906
-61718.8,-114.928
-61523.4,-114.866
-61328.1,-114.842
-61132.8,-114.924
-60937.5,-114.909
-60742.2,-114.814
-60546.9,-114.909
-60351.6,-114.922
-60156.2,-114.935
-59960.9,-114.998
-59765.6,-114.965
-59570.3,-115.03
-59375,-115.024
-59179.7,-114.992
-58984.4,-114.925
-58789.1,-115.003
-58593.8,-115.093
-58398.4,-115.081
-58203.1,-115.086
-58007.8,-115.076
-57812.5,-115.044
-57617.2,-115.015
-57421.9,-115.059
-57226.6,-115.121
-57031.2,-115.178
-56835.9,-115.174
-56640.6,-115.122
-56445.3,-115.055
-56250,-115.119
-56054.7,-115.133
-55859.4,-115.105
-55664.1,-115.115
-55468.8,-115.194
-55273.4,-115.071
-55078.1,-115.102
-54882.8,-115.188
-54687.5,-115.19
-54492.2,-115.106
-54296.9,-115.156
-54101.6,-115.14
-53906.2,-115.191
-53710.9,-115.199
-53515.6,-115.258
-53320.3,-115.278
-53125,-115.306
-52929.7,-115.32
-52734.4,-115.282
-52539.1,-115.326
-52343.8,-115.464
-52148.4,-115.401
-51953.1,-115.387
-51757.8,-115.326
-51562.5,-115.355
-51367.2,-115.417
-51171.9,-115.333
-50976.6,-115.376
-50781.2,-115.411
-50585.9,-115.454
