frequency_hz,power_db_hz
-100000,-150.591
-99804.7,-150.591
-99609.4,-150.994
-99414.1,-150.98
-99218.8,-150.929
-99023.4,-150.872
-98828.1,-150.908
-98632.8,-150.869
-98437.5,-150.748
-98242.2,-150.819
-98046.9,-150.936
-97851.6,-150.993
-97656.2,-150.935
-97460.9,-150.994
-97265.6,-150.971
-97070.3,-150.876
-96875,-150.938
-96679.7,-151.024
-96484.4,-150.974
-96289.1,-150.998
-96093.8,-151.059
-95898.4,-151.045
-95703.1,-151.022
-95507.8,-150.871
-95312.5,-150.741
-95117.2,-150.474
-94921.9,-150.222
-94726.6,-149.832
-94531.2,-149.214
-94335.9,-148.55
-94140.6,-147.555
-93945.3,-146.79
-93750,-146.09
-93554.7,-145.024
-93359.4,-144.026
-93164.1,-143.329
-92968.8,-142.316
-92773.4,-141.345
-92578.1,-140.255
-92382.8,-139.345
-92187.5,-138.641
-91992.2,-137.855
-91796.9,-136.76
-91601.6,-136.058
-91406.2,-135.372
-91210.9,-134.586
-91015.6,-133.697
-90820.3,-133.108
-90625,-132.144
-90429.7,-131.362
-90234.4,-131.007
-90039.1,-130.421
-89843.8,-129.73
-89648.4,-129.109
-89453.1,-128.398
-89257.8,-127.96
-89062.5,-127.233
-88867.2,-126.531
-88671.9,-126.178
-88476.6,-125.846
-88281.2,-125.358
-88085.9,-124.589
-87890.6,-124.269
-87695.3,-123.949
-87500,-123.396
-87304.7,-122.777
-87109.4,-122.372
-86914.1,-122.022
-86718.8,-121.706
-86523.4,-121.218
-86328.1,-120.839
-86132.8,-120.296
-85937.5,-119.989
-85742.2,-119.795
-85546.9,-119.399
-85351.6,-119.154
-85156.2,-118.94
-84960.9,-118.502
-84765.6,-118.171
-84570.3,-118.009
-84375,-117.584
-84179.7,-117.313
-83984.4,-117.114
-83789.1,-116.993
-83593.8,-116.582
-83398.4,-116.342
-83203.1,-116.183
-83007.8,-116.033
-82812.5,-115.83
-82617.2,-115.351
-82421.9,-115.204
-82226.6,-115.254
-82031.2,-114.954
-81835.9,-114.771
-81640.6,-114.593
-81445.3,-114.39
-81250,-114.362
-81054.7,-114.186
-80859.4,-113.891
-80664.1,-113.936
-80468.8,-113.926
-80273.4,-113.476
-80078.1,-113.461
-79882.8,-113.541
-79687.5,-113.169
-79492.2,-113.02
-79296.9,-113.116
-79101.6,-113.019
-78906.2,-112.802
-78710.9,-112.718
-78515.6,-112.645
-78320.3,-112.638
-78125,-112.492
-77929.7,-112.222
-77734.4,-112.391
-77539.1,-112.396
-77343.8,-112.308
-77148.4,-112.024
-76953.1,-112.099
-76757.8,-112.043
-76562.5,-112.057
-76367.2,-111.871
-76171.9,-111.946
-75976.6,-111.896
-75781.2,-111.901
-75585.9,-111.738
-75390.6,-111.893
-75195.3,-111.752
-75000,-111.726
-74804.7,-111.603
-74609.4,-111.625
-74414.1,-111.633
-74218.8,-111.624
-74023.4,-111.616
