frequency_hz,power_db_hz
-100000,-150.848
-99804.7,-150.975
-99609.4,-150.969
-99414.1,-150.922
-99218.8,-150.933
-99023.4,-150.941
-98828.1,-150.98
-98632.8,-150.881
-98437.5,-150.854
-98242.2,-150.888
-98046.9,-150.931
-97851.6,-150.919
-97656.2,-150.92
-97460.9,-150.954
-97265.6,-151.01
-97070.3,-151.053
-96875,-151.027
-96679.7,-151.039
-96484.4,-151.12
-96289.1,-151.101
-96093.8,-151.063
-95898.4,-151.009
-95703.1,-151.015
-95507.8,-151.001
-95312.5,-150.885
-95117.2,-150.68
-94921.9,-150.428
-94726.6,-150.071
-94531.2,-149.542
-94335.9,-149.086
-94140.6,-148.316
-93945.3,-147.6
-93750,-146.894
-93554.7,-146.036
-93359.4,-144.908
-93164.1,-143.997
-92968.8,-143.279
-92773.4,-142.309
-92578.1,-141.275
-92382.8,-140.281
-92187.5,-139.546
-91992.2,-138.782
-91796.9,-137.934
-91601.6,-137.007
-91406.2,-136.407
-91210.9,-135.669
-91015.6,-134.804
-90820.3,-133.976
-90625,-133.275
-90429.7,-132.713
-90234.4,-131.897
-90039.1,-131.316
-89843.8,-130.779
-89648.4,-130.312
-89453.1,-129.511
-89257.8,-128.922
-89062.5,-128.466
-88867.2,-127.809
-88671.9,-127.209
-88476.6,-126.681
-88281.2,-126.258
-88085.9,-125.851
-87890.6,-125.194
-87695.3,-124.826
-87500,-124.472
-87304.7,-124.129
-87109.4,-123.574
-86914.1,-123.134
-86718.8,-122.811
-86523.4,-122.621
-86328.1,-122.153
-86132.8,-121.54
-85937.5,-121.43
-85742.2,-121.079
-85546.9,-120.608
-85351.6,-120.259
-85156.2,-119.971
-84960.9,-119.702
-84765.6,-119.437
-84570.3,-119.111
-84375,-118.756
-84179.7,-118.777
-83984.4,-118.392
-83789.1,-118.041
-83593.8,-117.896
-83398.4,-117.708
-83203.1,-117.426
-83007.8,-117.249
-82812.5,-116.945
-82617.2,-116.676
-82421.9,-116.702
-82226.6,-116.446
-82031.2,-116.082
-81835.9,-116.045
-81640.6,-115.987
-81445.3,-115.814
-81250,-115.615
-81054.7,-115.502
-80859.4,-115.358
-80664.1,-115.109
-80468.8,-115.014
-80273.4,-114.915
-80078.1,-114.877
-79882.8,-114.808
-79687.5,-114.587
-79492.2,-114.512
-79296.9,-114.511
-79101.6,-114.393
-78906.2,-114.184
-78710.9,-114.257
-78515.6,-114.24
-78320.3,-113.953
-78125,-113.82
-77929.7,-113.888
-77734.4,-113.997
-77539.1,-113.841
-77343.8,-113.569
-77148.4,-113.594
-76953.1,-113.803
-76757.8,-113.665
-76562.5,-113.453
-76367.2,-113.537
-76171.9,-113.583
-75976.6,-113.533
-75781.2,-113.357
-75585.9,-113.175
-75390.6,-113.459
-75195.3,-113.476
-75000,-113.175
-74804.7,-113.14
-74609.4,-113.325
-74414.1,-113.311
-74218.8,-113.088
-74023.4,-113.132
-73828.1,-113.192
-73632.8,-113.304
-73437.5,-113.216
-73242.2,-113.099
-73046.9,-113.241
-72851.6,-113.256
-72656.2,-113.057
-72460.9,-113.078
-72265.6,-113.308
-72070.3,-113.216
-71875,-112.964
-71679.7,-113.036
-71484.4,-113.24
-71289.1,-113.287
-71093.8,-112.956
-70898.4,-112.957
-70703.1,-113.218
-70507.8,-113.336
-70312.5,-113.052
-70117.2,-112.742
-69921.9,-113.088
-69726.6,-113.259
-69531.2,-113.095
-69335.9,-112.907
-69140.6,-113.109
-68945.3,-113.215
-68750,-113.052
-68554.7,-112.988
-68359.4,-113.107
-68164.1,-113.257
-67968.8,-113.092
-67773.4,-112.927
-67578.1,-113.089
-67382.8,-113.151
-67187.5,-113.029
-66992.2,-113.072
-66796.9,-113.226
-66601.6,-113.134
-66406.2,-113.071
-66210.9,-113.097
-66015.6,-113.224
-65820.3,-113.306
-65625,-112.918
-65429.7,-112.839
-65234.4,-113.271
-65039.1,-113.394
-64843.8,-113.103
-64648.4,-112.879
-64453.1,-113.108
-64257.8,-113.274
-64062.5,-113.201
-63867.2,-113.025
-63671.9,-113.072
-63476.6,-113.271
-63281.2,-113.168
-63085.9,-113.165
-62890.6,-113.131
-62695.3,-113.274
-62500,-113.199
-62304.7,-113.125
-62109.4,-113.181
-61914.1,-113.288
-61718.8,-113.189
-61523.4,-113.16
-61328.1,-113.27
-61132.8,-113.293
-60937.5,-113.169
-60742.2,-113.233
-60546.9,-113.238
-60351.6,-113.406
-60156.2,-113.309
-59960.9,-113.18
-59765.6,-113.334
-59570.3,-113.448
-59375,-113.385
-59179.7,-113.245
-58984.4,-113.385
-58789.1,-113.482
-58593.8,-113.455
-58398.4,-113.44
-58203.1,-113.368
-58007.8,-113.382
-57812.5,-113.495
-57617.2,-113.546
-57421.9,-113.307
-57226.6,-113.285
-57031.2,-113.493
-56835.9,-113.488
-56640.6,-113.391
-56445.3,-113.408
-56250,-113.454
-56054.7,-113.433
-55859.4,-113.37
-55664.1,-113.497
-55468.8,-113.473
-55273.4,-113.641
-55078.1,-113.547
-54882.8,-113.585
-54687.5,-113.738
-54492.2,-113.679
-54296.9,-113.519
-54101.6,-113.608
-53906.2,-113.798
-53710.9,-113.701
-53515.6,-113.568
-53320.3,-113.533
-53125,-113.889
-52929.7,-113.87
-52734.4,-113.41
-52539.1,-113.499
-52343.8,-113.859
-52148.4,-113.891
-51953.1,-113.561
-51757.8,-113.491
-51562.5,-113.823
-51367.2,-113.968
-51171.9,-113.67
-50976.6,-113.569
-50781.2,-113.753
-50585.9,-113.823
-50390.6,-113.67
-50195.3,-113.631
-50000,-113.836
-49804.7,-113.946
-49609.4,-113.75
-49414.1,-113.571
-49218.8,-113.936
-49023.4,-114.028
-48828.1,-113.821
-48632.8,-113.644
-48437.5,-113.977
-48242.2,-113.981
-48046.9,-113.74
-47851.6,-113.624
-47656.2,-114.005
-47460.9,-114.095
-47265.6,-113.689
-47070.3,-113.579
-46875,-113.954
-46679.7,-113.943
-46484.4,-113.668
-46289.1,-113.545
-46093.8,-113.92
-45898.4,-114.064
-45703.1,-113.732
-45507.8,-113.56
-45312.5,-113.85
-45117.2,-114.059
-44921.9,-113.783
-44726.6,-113.712
-44531.2,-113.828
-44335.9,-113.918
-44140.6,-113.802
-43945.3,-113.703
-43750,-113.985
-43554.7,-113.948
-43359.4,-113.709
-43164.1,-113.633
-42968.8,-113.969
-42773.4,-113.941
-42578.1,-113.603
-42382.8,-113.659
-42187.5,-113.904
-41992.2,-113.925
-41796.9,-113.579
-41601.6,-113.602
-41406.2,-113.815
-41210.9,-113.908
-41015.6,-113.686
-40820.3,-113.525
-40625,-113.804
-40429.7,-113.89
-40234.4,-113.632
-40039.1,-113.55
-39843.8,-113.651
-39648.4,-113.85
-39453.1,-113.676
-39257.8,-113.648
-39062.5,-113.587
-38867.2,-113.646
-38671.9,-113.673
-38476.6,-113.618
-38281.2,-113.675
-38085.9,-113.726
-37890.6,-113.642
-37695.3,-113.508
-37500,-113.668
-37304.7,-113.685
-37109.4,-113.421
-36914.1,-113.621
-36718.8,-113.589
-36523.4,-113.569
-36328.1,-113.523
-36132.8,-113.409
-35937.5,-113.343
-35742.2,-113.535
-35546.9,-113.55
-35351.6,-113.272
-35156.2,-113.344
-34960.9,-113.508
-34765.6,-113.4
-34570.3,-113.321
-34375,-113.139
-34179.7,-113.077
-33984.4,-112.948
-33789.1,-112.57
-33593.8,-112.206
-33398.4,-112.06
-33203.1,-112.212
-33007.8,-112.087
-32812.5,-111.517
-32617.2,-110.887
-32421.9,-110.605
-32226.6,-110.539
-32031.2,-110.262
-31835.9,-108.793
-31640.6,-105.88
-31445.3,-99.8414
-31250,-96.5513
-31054.7,-96.3147
-30859.4,-96.142
-30664.1,-95.57
-30468.8,-96.0432
