frequency_hz,power_db_hz
-100000,-150.999
-99804.7,-151.032
-99609.4,-151.034
-99414.1,-151.003
-99218.8,-151.057
-99023.4,-151.072
-98828.1,-150.967
-98632.8,-151.005
-98437.5,-151.036
-98242.2,-150.944
-98046.9,-150.984
-97851.6,-151.078
-97656.2,-151.026
-97460.9,-151.09
-97265.6,-151.07
-97070.3,-151.054
-96875,-151.039
-96679.7,-151.041
-96484.4,-151.048
-96289.1,-151.113
-96093.8,-151.095
-95898.4,-151.101
-95703.1,-151.177
-95507.8,-151.091
-95312.5,-151.053
-95117.2,-150.902
-94921.9,-150.743
-94726.6,-150.509
-94531.2,-150.191
-94335.9,-149.778
-94140.6,-149.152
-93945.3,-148.566
-93750,-147.861
-93554.7,-147.185
-93359.4,-146.519
-93164.1,-145.799
-92968.8,-145.111
-92773.4,-144.354
-92578.1,-143.442
-92382.8,-142.638
-92187.5,-141.839
-91992.2,-141.025
-91796.9,-140.114
-91601.6,-139.069
-91406.2,-138.015
-91210.9,-137.593
-91015.6,-136.834
-90820.3,-136.28
-90625,-135.78
-90429.7,-134.961
-90234.4,-134.39
-90039.1,-133.812
-89843.8,-132.951
-89648.4,-132.423
-89453.1,-131.884
-89257.8,-131.329
-89062.5,-130.713
-88867.2,-130.044
-88671.9,-129.478
-88476.6,-129.016
-88281.2,-128.656
-88085.9,-128.243
-87890.6,-127.707
-87695.3,-127.363
-87500,-126.992
-87304.7,-126.552
-87109.4,-126.081
-86914.1,-125.621
-86718.8,-125.344
-86523.4,-124.938
-86328.1,-124.405
-86132.8,-124.003
-85937.5,-123.727
-85742.2,-123.363
-85546.9,-123.145
-85351.6,-122.982
-85156.2,-122.602
-84960.9,-122.304
-84765.6,-122.049
-84570.3,-121.717
-84375,-121.559
-84179.7,-121.312
-83984.4,-121.051
-83789.1,-120.706
-83593.8,-120.312
-83398.4,-119.896
-83203.1,-119.866
-83007.8,-119.755
-82812.5,-119.525
-82617.2,-119.38
-82421.9,-119.262
-82226.6,-119.128
-82031.2,-118.871
-81835.9,-118.649
-81640.6,-118.508
-81445.3,-118.319
-81250,-118.115
-81054.7,-117.988
-80859.4,-117.78
-80664.1,-117.706
-80468.8,-117.518
-80273.4,-117.484
-80078.1,-117.456
-79882.8,-117.217
-79687.5,-117.206
-79492.2,-117.084
-79296.9,-116.906
-79101.6,-116.755
-78906.2,-116.654
-78710.9,-116.733
-78515.6,-116.578
-78320.3,-116.477
-78125,-116.425
-77929.7,-116.428
-77734.4,-116.35
-77539.1,-116.346
-77343.8,-116.289
-77148.4,-116.163
-76953.1,-116.233
-76757.8,-116.114
-76562.5,-116.045
-76367.2,-115.998
-76171.9,-115.936
-75976.6,-115.979
-75781.2,-115.919
-75585.9,-115.667
-75390.6,-115.617
-75195.3,-115.711
-75000,-115.798
-74804.7,-115.737
-74609.4,-115.718
-74414.1,-115.798
-74218.8,-115.695
-74023.4,-115.673
-73828.1,-115.726
-73632.8,-115.676
-73437.5,-115.61
-73242.2,-115.585
-73046.9,-115.441
-72851.6,-115.602
-72656.2,-115.589
-72460.9,-115.527
-72265.6,-115.527
-72070.3,-115.487
-71875,-115.419
-71679.7,-115.473
-71484.4,-115.46
-71289.1,-115.431
-71093.8,-115.382
-70898.4,-115.175
-70703.1,-115.366
-70507.8,-115.449
-70312.5,-115.327
-70117.2,-115.325
-69921.9,-115.217
-69726.6,-115.378
-69531.2,-115.523
-69335.9,-115.407
-69140.6,-115.375
-68945.3,-115.382
-68750,-115.366
-68554.7,-115.402
-68359.4,-115.393
-68164.1,-115.338
-67968.8,-115.306
-67773.4,-115.315
-67578.1,-115.259
-67382.8,-115.255
-67187.5,-115.254
-66992.2,-115.292
-66796.9,-115.394
-66601.6,-115.301
-66406.2,-115.35
-66210.9,-115.264
-66015.6,-115.413
-65820.3,-115.422
-65625,-115.221
-65429.7,-115.239
-65234.4,-115.294
-65039.1,-115.201
-64843.8,-115.264
-64648.4,-115.216
-64453.1,-115.29
-64257.8,-115.426
-64062.5,-115.397
-63867.2,-115.29
-63671.9,-115.371
-63476.6,-115.252
-63281.2,-115.279
-63085.9,-115.341
-62890.6,-115.261
-62695.3,-115.228
-62500,-115.113
-62304.7,-115.179
-62109.4,-115.405
-61914.1,-115.421
-61718.8,-115.301
-61523.4,-115.416
-61328.1,-115.387
-61132.8,-115.329
-60937.5,-115.309
-60742.2,-115.443
-60546.9,-115.624
-60351.6,-115.42
-60156.2,-115.285
-59960.9,-115.267
-59765.6,-115.209
-59570.3,-115.388
-59375,-115.443
-59179.7,-115.544
-58984.4,-115.551
-58789.1,-115.449
-58593.8,-115.562
-58398.4,-115.649
-58203.1,-115.71
-58007.8,-115.63
-57812.5,-115.551
-57617.2,-115.356
-57421.9,-115.357
-57226.6,-115.289
-57031.2,-115.22
-56835.9,-115.639
-56640.6,-115.669
-56445.3,-115.62
-56250,-115.737
-56054.7,-115.643
-55859.4,-115.752
-55664.1,-115.66
-55468.8,-115.718
-55273.4,-115.677
-55078.1,-115.497
-54882.8,-115.449
-54687.5,-115.323
-54492.2,-115.431
-54296.9,-115.566
-54101.6,-115.785
-53906.2,-115.774
-53710.9,-115.749
-53515.6,-115.787
-53320.3,-115.717
-53125,-115.884
-52929.7,-115.874
-52734.4,-115.787
-52539.1,-115.793
-52343.8,-115.614
-52148.4,-115.709
-51953.1,-115.665
-51757.8,-115.614
-51562.5,-115.8
-51367.2,-115.846
-51171.9,-115.986
-50976.6,-116.035
-50781.2,-115.882
-50585.9,-115.968
-50390.6,-116.093
-50195.3,-116.021
-50000,-116.015
-49804.7,-115.876
-49609.4,-115.81
-49414.1,-115.832
-49218.8,-115.807
-49023.4,-115.926
-48828.1,-116.069
-48632.8,-116.118
-48437.5,-116.076
-48242.2,-115.997
-48046.9,-116.083
-47851.6,-116.094
-47656.2,-116.084
-47460.9,-116.004
-47265.6,-116.079
-47070.3,-115.7
-46875,-115.831
-46679.7,-116.015
-46484.4,-115.978
-46289.1,-116.004
-46093.8,-115.793
-45898.4,-116.023
-45703.1,-116.024
-45507.8,-115.867
-45312.5,-115.956
-45117.2,-116.033
-44921.9,-116.027
-44726.6,-116.044
-44531.2,-115.992
-44335.9,-115.904
-44140.6,-115.987
-43945.3,-115.948
-43750,-115.946
-43554.7,-116.074
-43359.4,-115.948
-43164.1,-116.021
-42968.8,-116.059
-42773.4,-115.994
-42578.1,-116.211
-42382.8,-116.119
-42187.5,-116.078
-41992.2,-116.155
-41796.9,-115.967
-41601.6,-115.955
-41406.2,-116.022
-41210.9,-116.136
-41015.6,-116.154
-40820.3,-116.02
-40625,-116.068
-40429.7,-116.163
-40234.4,-116.124
-40039.1,-116.13
-39843.8,-116.224
-39648.4,-116.122
-39453.1,-116.055
-39257.8,-116.037
-39062.5,-115.981
-38867.2,-116.085
-38671.9,-116.012
-38476.6,-115.909
-38281.2,-116.069
-38085.9,-115.979
-37890.6,-116.003
-37695.3,-116.032
-37500,-116
-37304.7,-116.115
-37109.4,-115.941
-36914.1,-115.871
-36718.8,-116.005
-36523.4,-115.895
-36328.1,-115.78
-36132.8,-115.898
-35937.5,-115.834
-35742.2,-115.886
-35546.9,-115.821
-35351.6,-115.773
-35156.2,-115.868
-34960.9,-115.929
-34765.6,-115.807
-34570.3,-115.838
-34375,-115.907
-34179.7,-115.747
-33984.4,-115.707
-33789.1,-115.717
-33593.8,-115.827
-33398.4,-115.72
-33203.1,-115.571
-33007.8,-115.834
-32812.5,-115.665
-32617.2,-115.766
-32421.9,-115.727
-32226.6,-115.659
-32031.2,-115.805
-31835.9,-115.619
-31640.6,-115.511
-31445.3,-115.64
-31250,-115.562
-31054.7,-115.43
-30859.4,-115.277
-30664.1,-115.477
-30468.8,-115.587
-30273.4,-115.58
-30078.1,-115.406
-29882.8,-115.492
-29687.5,-115.514
-29492.2,-115.357
-29296.9,-115.441
-29101.6,-115.314
-28906.2,-115.269
-28710.9,-115.156
-28515.6,-115.053
-28320.3,-115.092
-28125,-115.015
-27929.7,-114.756
-27734.4,-114.531
-27539.1,-114.504
-27343.8,-114.726
-27148.4,-114.684
-26953.1,-114.649
-26757.8,-114.458
-26562.5,-114.328
-26367.2,-113.629
-26171.9,-112.495
-25976.6,-112.354
-25781.2,-111.267
-25585.9,-111.346
-25390.6,-102.152
-25195.3,-98.0117
-25000,-97.9134
-24804.7,-100.111
-24609.4,-107.604
-24414.1,-111.854
-24218.8,-111.954
-24023.4,-111.95
-23828.1,-112.214
-23632.8,-112.305
-23437.5,-112.276
-23242.2,-112.004
-23046.9,-112.129
-22851.6,-112.161
-22656.2,-106.9
-22460.9,-100.558
-22265.6,-99.1307
-22070.3,-97.8827
-21875,-96.5813
-21679.7,-95.9744
-21484.4,-96.0067
-21289.1,-96.6922
-21093.8,-97.1761
-20898.4,-97.1107
-20703.1,-96.678
-20507.8,-97.2722
-20312.5,-98.5911
-20117.2,-101.195
-19921.9,-106.61
-19726.6,-110.397
-19531.2,-110.602
-19335.9,-111.021
-19140.6,-111.973
-18945.3,-112.7
-18750,-113.17
-18554.7,-113.373
-18359.4,-113.657
-18164.1,-113.975
-17968.8,-114.231
-17773.4,-114.325
-17578.1,-114.447
-17382.8,-114.579
-17187.5,-114.749
-16992.2,-114.949
-16796.9,-114.944
-16601.6,-115.274
-16406.2,-115.24
