frequency_hz,power_db_hz
-100000,-151.025
-99804.7,-150.928
-99609.4,-150.991
-99414.1,-150.985
-99218.8,-151.018
-99023.4,-151.126
-98828.1,-151.046
-98632.8,-150.949
-98437.5,-151.056
-98242.2,-151.065
-98046.9,-151.067
-97851.6,-151.049
-97656.2,-150.988
-97460.9,-151.015
-97265.6,-150.953
-97070.3,-150.985
-96875,-151.06
-96679.7,-151.083
-96484.4,-151.095
-96289.1,-151.052
-96093.8,-151.129
-95898.4,-151.115
-95703.1,-151.109
-95507.8,-151.019
-95312.5,-150.948
-95117.2,-150.86
-94921.9,-150.677
-94726.6,-150.482
-94531.2,-150.21
-94335.9,-149.872
-94140.6,-149.521
-93945.3,-149.031
-93750,-148.375
-93554.7,-147.681
-93359.4,-146.974
-93164.1,-146.462
-92968.8,-145.72
-92773.4,-144.884
-92578.1,-143.948
-92382.8,-143.128
-92187.5,-142.403
-91992.2,-141.582
-91796.9,-140.838
-91601.6,-139.901
-91406.2,-138.922
-91210.9,-138.589
-91015.6,-137.866
-90820.3,-137.088
-90625,-136.357
-90429.7,-135.865
-90234.4,-135.29
-90039.1,-134.542
-89843.8,-133.743
-89648.4,-133.104
-89453.1,-132.648
-89257.8,-132.282
-89062.5,-131.537
-88867.2,-130.728
-88671.9,-130.577
-88476.6,-129.996
-88281.2,-129.467
-88085.9,-129.148
-87890.6,-128.555
-87695.3,-128.068
-87500,-127.731
-87304.7,-127.25
-87109.4,-126.524
-86914.1,-126.093
-86718.8,-125.912
-86523.4,-125.487
-86328.1,-125.044
-86132.8,-124.914
-85937.5,-124.428
-85742.2,-123.963
-85546.9,-123.883
-85351.6,-123.631
-85156.2,-123.116
-84960.9,-122.906
-84765.6,-122.7
-84570.3,-122.241
-84375,-121.92
-84179.7,-121.719
-83984.4,-121.429
-83789.1,-121.234
-83593.8,-120.939
-83398.4,-120.546
-83203.1,-120.304
-83007.8,-120.393
-82812.5,-120.203
-82617.2,-120.004
-82421.9,-119.805
-82226.6,-119.711
-82031.2,-119.432
-81835.9,-119.284
-81640.6,-119.288
-81445.3,-118.881
-81250,-118.726
-81054.7,-118.737
-80859.4,-118.671
-80664.1,-118.387
-80468.8,-118.331
-80273.4,-118.321
-80078.1,-118.284
-79882.8,-118.214
-79687.5,-117.949
-79492.2,-117.725
-79296.9,-117.8
-79101.6,-117.644
-78906.2,-117.436
-78710.9,-117.423
-78515.6,-117.415
-78320.3,-117.44
-78125,-117.362
-77929.7,-117.194
-77734.4,-117.262
-77539.1,-117.239
-77343.8,-117.216
-77148.4,-117.145
-76953.1,-117.048
-76757.8,-117.041
-76562.5,-116.946
-76367.2,-116.898
-76171.9,-116.92
-75976.6,-116.903
-75781.2,-116.754
-75585.9,-116.747
-75390.6,-116.579
-75195.3,-116.835
-75000,-116.781
-74804.7,-116.64
-74609.4,-116.703
-74414.1,-116.766
-74218.8,-116.682
-74023.4,-116.583
-73828.1,-116.594
-73632.8,-116.553
-73437.5,-116.698
-73242.2,-116.622
-73046.9,-116.454
-72851.6,-116.451
-72656.2,-116.554
-72460.9,-116.477
-72265.6,-116.248
-72070.3,-116.48
-71875,-116.529
-71679.7,-116.496
-71484.4,-116.386
-71289.1,-116.277
-71093.8,-116.25
-70898.4,-116.247
-70703.1,-116.279
-70507.8,-116.199
-70312.5,-116.235
-70117.2,-116.283
-69921.9,-116.331
-69726.6,-116.29
-69531.2,-116.273
-69335.9,-116.191
-69140.6,-116.257
-68945.3,-116.243
-68750,-116.08
-68554.7,-116.055
-68359.4,-116.182
-68164.1,-116.176
-67968.8,-116.053
-67773.4,-116.051
-67578.1,-115.927
-67382.8,-115.97
-67187.5,-116.098
-66992.2,-116.172
-66796.9,-116.008
-66601.6,-116.003
-66406.2,-116.127
-66210.9,-116.124
-66015.6,-115.892
-65820.3,-115.886
-65625,-116.013
-65429.7,-115.96
-65234.4,-115.956
-65039.1,-115.985
-64843.8,-115.809
-64648.4,-115.936
-64453.1,-116.051
-64257.8,-116.026
-64062.5,-115.971
-63867.2,-116.107
-63671.9,-116.055
-63476.6,-115.962
-63281.2,-116.065
-63085.9,-115.901
-62890.6,-115.816
-62695.3,-116.017
-62500,-116.139
-62304.7,-115.947
-62109.4,-116.034
-61914.1,-116.119
-61718.8,-116.021
-61523.4,-116.133
-61328.1,-116.192
-61132.8,-115.899
-60937.5,-116.065
-60742.2,-116.182
-60546.9,-116.022
-60351.6,-116.025
-60156.2,-116.214
-59960.9,-116.169
-59765.6,-116.123
-59570.3,-116.213
-59375,-116.2
-59179.7,-116.179
-58984.4,-116.297
-58789.1,-116.293
