time,ukf_X x,ukf_X y,ukf_X z,ukf_X k
2026-05-22T21:47:00Z,-0.31828999519348145,0.1381610780954361,-0.373462438583374,-0.8603073358535767
2026-05-22T21:47:10Z,-0.34028249979019165,0.14063644409179688,-0.3750464916229248,-0.8507463932037354
2026-05-22T21:47:20Z,-0.36484020948410034,0.1390545517206192,-0.3744998872280121,-0.8410144448280334
2026-05-22T21:47:30Z,-0.3872041404247284,0.1363380402326584,-0.3726136088371277,-0.8322523832321167
2026-05-22T21:47:40Z,-0.41281554102897644,0.13293497264385223,-0.3701249659061432,-0.8215345740318298
2026-05-22T21:47:50Z,-0.4335513412952423,0.12938739359378815,-0.3661228120326996,-0.8131705522537231
2026-05-22T21:48:00Z,-0.4557536840438843,0.12416638433933258,-0.35993409156799316,-0.804561197757721
2026-05-22T21:48:10Z,-0.47983217239379883,0.11802471429109573,-0.35538408160209656,-0.7934313416481018
2026-05-22T21:48:20Z,-0.505261242389679,0.1097588762640953,-0.3485063314437866,-0.7817976474761963
2026-05-22T21:48:30Z,-0.5273709297180176,0.10182962566614151,-0.3415358066558838,-0.771274209022522
2026-05-22T21:48:40Z,-0.5510209202766418,0.09389735013246536,-0.33343273401260376,-0.7591981291770935
2026-05-22T21:48:50Z,-0.5725656747817993,0.08433708548545837,-0.3245876729488373,-0.7481300830841064
2026-05-22T21:49:00Z,-0.5955902338027954,0.07536327093839645,-0.3144932687282562,-0.7353139519691467
2026-05-22T21:49:10Z,-0.6138672828674316,0.06803283095359802,-0.3040773868560791,-0.7253104448318481
2026-05-22T21:49:20Z,-0.6332445740699768,0.06140182539820671,-0.2924717366695404,-0.7139266729354858
2026-05-22T21:49:30Z,-0.6507658362388611,0.0537848174571991,-0.2798759639263153,-0.7037617564201355
2026-05-22T21:49:40Z,-0.6697622537612915,0.045757558196783066,-0.2646065056324005,-0.6923208236694336
2026-05-22T21:49:50Z,-0.6866768002510071,0.03473776951432228,-0.2503291964530945,-0.6816183924674988
2026-05-22T21:50:00Z,-0.7029375433921814,0.027578823268413544,-0.23459112644195557,-0.6708840131759644
2026-05-22T21:50:10Z,-0.7175175547599792,0.022755097597837448,-0.21674740314483643,-0.6615672707557678
2026-05-22T21:50:20Z,-0.7327629327774048,0.018140170723199844,-0.19608737528324127,-0.6513671875
2026-05-22T21:50:30Z,-0.7472647428512573,0.011809173040091991,-0.1728823035955429,-0.6415355205535889
2026-05-22T21:50:40Z,-0.75956791639328,0.009304016828536987,-0.15046870708465576,-0.6327158212661743
2026-05-22T21:50:50Z,-0.7706691026687622,0.005667821504175663,-0.12107320874929428,-0.6256024241447449
2026-05-22T21:51:00Z,-0.7751814126968384,-0.00002456268157402519,-0.09921997040510178,-0.6238983869552612
2026-05-22T21:51:10Z,-0.7819244861602783,0.0015451081562787294,-0.07024405151605606,-0.6194009780883789
2026-05-22T21:51:20Z,-0.7883287668228149,0.008084380999207497,-0.03880652040243149,-0.6139759421348572
2026-05-22T21:51:30Z,-0.7948903441429138,0.01611529290676117,-0.0006154655129648745,-0.6065388321876526
2026-05-22T21:51:40Z,-0.8005123138427734,0.026956086978316307,0.03262491524219513,-0.5978202223777771
2026-05-22T21:51:50Z,-0.8101029992103577,0.044205356389284134,0.07072000950574875,-0.5803254842758179
2026-05-22T21:52:00Z,-0.8151336312294006,0.05282573774456978,0.11320751160383224,-0.5656417608261108
2026-05-22T21:52:10Z,-0.8178611993789673,0.062172405421733856,0.1664285957813263,-0.5473016500473022
2026-05-22T21:52:20Z,-0.8170050382614136,0.0657280683517456,0.21521319448947906,-0.5309105515480042
2026-05-22T21:52:30Z,-0.8012279272079468,0.042550019919872284,0.4067327380180359,-0.4367971122264862
2026-05-22T21:52:50Z,-0.7912224531173706,0.04844828322529793,0.4297291040420532,-0.4323802888393402
2026-05-22T21:53:00Z,-0.7718056440353394,0.05511398985981941,0.4699518382549286,-0.4247633218765259
2026-05-22T21:53:10Z,-0.7522961497306824,0.06375689804553986,0.5031172633171082,-0.4205457270145416
2026-05-22T21:53:20Z,-0.7349755764007568,0.06891683489084244,0.5293439030647278,-0.4181582033634186
2026-05-22T21:53:30Z,-0.7165546417236328,0.0740400105714798,0.5545521974563599,-0.41658079624176025
2026-05-22T21:53:40Z,-0.6998268365859985,0.07789477705955505,0.5757496356964111,-0.41555655002593994
2026-05-22T21:53:50Z,-0.6795355081558228,0.08691444247961044,0.5841612815856934,-0.4352390766143799
2026-05-22T21:54:00Z,-0.6632307171821594,0.04201586917042732,0.7129705548286438,-0.22367966175079346
2026-05-22T21:54:50Z,-0.5835925936698914,0.09546349197626114,0.7321261167526245,-0.3380795419216156
