frequency_hz,power_db_hz
-100000,-148.063
-99804.7,-148.024
-99609.4,-147.961
-99414.1,-147.869
-99218.8,-147.628
-99023.4,-147.557
-98828.1,-147.441
-98632.8,-147.435
-98437.5,-147.423
-98242.2,-147.278
-98046.9,-147.407
-97851.6,-147.432
-97656.2,-147.528
-97460.9,-147.633
-97265.6,-147.828
-97070.3,-148.258
-96875,-148.709
-96679.7,-149.278
-96484.4,-149.941
-96289.1,-150.603
-96093.8,-150.93
-95898.4,-150.656
-95703.1,-149.602
-95507.8,-148.048
-95312.5,-146.098
-95117.2,-144.194
-94921.9,-142.488
-94726.6,-140.593
-94531.2,-139.169
-94335.9,-137.477
-94140.6,-136.059
-93945.3,-134.901
-93750,-133.42
-93554.7,-132.435
-93359.4,-131.176
-93164.1,-130.192
-92968.8,-129.162
-92773.4,-128.104
-92578.1,-127.345
-92382.8,-126.304
-92187.5,-125.567
-91992.2,-124.66
-91796.9,-123.976
-91601.6,-123.13
-91406.2,-122.399
-91210.9,-121.784
-91015.6,-120.999
-90820.3,-120.605
-90625,-119.674
-90429.7,-119.192
-90234.4,-118.64
-90039.1,-117.973
-89843.8,-117.567
-89648.4,-116.808
-89453.1,-116.546
-89257.8,-115.997
-89062.5,-115.421
-88867.2,-115.023
-88671.9,-114.521
-88476.6,-114.176
-88281.2,-113.68
-88085.9,-113.294
-87890.6,-112.899
-87695.3,-112.641
-87500,-112.115
-87304.7,-111.798
-87109.4,-111.51
-86914.1,-111.067
-86718.8,-110.877
-86523.4,-110.42
-86328.1,-110.207
-86132.8,-109.952
-85937.5,-109.538
-85742.2,-109.291
-85546.9,-108.991
-85351.6,-108.821
-85156.2,-108.558
-84960.9,-108.207
-84765.6,-108.087
-84570.3,-107.902
-84375,-107.592
-84179.7,-107.444
-83984.4,-107.14
-83789.1,-106.951
-83593.8,-106.845
-83398.4,-106.461
-83203.1,-106.471
-83007.8,-106.227
-82812.5,-106.099
-82617.2,-105.974
-82421.9,-105.749
-82226.6,-105.763
-82031.2,-105.472
-81835.9,-105.376
-81640.6,-105.243
-81445.3,-105.127
-81250,-105.057
-81054.7,-104.913
-80859.4,-104.815
-80664.1,-104.68
-80468.8,-104.713
-80273.4,-104.438
-80078.1,-104.441
-79882.8,-104.385
-79687.5,-104.233
-79492.2,-104.333
-79296.9,-104.067
-79101.6,-104.202
-78906.2,-104.085
-78710.9,-103.967
-78515.6,-103.996
-78320.3,-103.861
-78125,-103.994
-77929.7,-103.787
-77734.4,-103.785
-77539.1,-103.815
-77343.8,-103.753
-77148.4,-103.798
-76953.1,-103.641
-76757.8,-103.802
-76562.5,-103.693
-76367.2,-103.716
-76171.9,-103.7
-75976.6,-103.747
-75781.2,-103.845
-75585.9,-103.746
-75390.6,-103.792
-75195.3,-103.707
-75000,-103.881
-74804.7,-103.804
-74609.4,-103.734
-74414.1,-103.989
-74218.8,-103.943
-74023.4,-103.923
-73828.1,-103.958
-73632.8,-103.94
-73437.5,-104.099
-73242.2,-104.087
-73046.9,-104.03
-72851.6,-104.152
-72656.2,-104.243
-72460.9,-104.197
-72265.6,-104.244
-72070.3,-104.261
-71875,-104.344
-71679.7,-104.319
-71484.4,-104.33
-71289.1,-104.386
-71093.8,-104.285
-70898.4,-104.45
-70703.1,-104.4
-70507.8,-104.473
-70312.5,-104.628
-70117.2,-104.592
-69921.9,-104.541
-69726.6,-104.606
-69531.2,-104.663
-69335.9,-104.606
-69140.6,-104.728
-68945.3,-104.661
-68750,-104.759
-68554.7,-104.822
-68359.4,-104.696
-68164.1,-104.79
-67968.8,-104.781
-67773.4,-104.924
-67578.1,-104.757
-67382.8,-104.777
-67187.5,-104.934
-66992.2,-104.761
-66796.9,-104.908
-66601.6,-104.738
-66406.2,-104.989
-66210.9,-104.986
-66015.6,-104.874
-65820.3,-104.907
-65625,-104.88
-65429.7,-104.9
-65234.4,-104.73
-65039.1,-104.872
-64843.8,-104.953
-64648.4,-104.955
-64453.1,-104.956
-64257.8,-104.847
-64062.5,-104.984
-63867.2,-104.944
-63671.9,-104.954
-63476.6,-104.867
-63281.2,-105.011
-63085.9,-105.092
-62890.6,-104.92
-62695.3,-105.042
-62500,-104.975
-62304.7,-105.014
-62109.4,-105.001
-61914.1,-105.012
-61718.8,-105.059
-61523.4,-105.021
-61328.1,-105.178
-61132.8,-105.049
-60937.5,-104.967
-60742.2,-105.121
-60546.9,-105.142
-60351.6,-105.041
-60156.2,-105.181
-59960.9,-105.3
-59765.6,-105.255
-59570.3,-105.287
-59375,-105.274
-59179.7,-105.371
-58984.4,-105.463
-58789.1,-105.442
-58593.8,-105.464
-58398.4,-105.466
-58203.1,-105.56
-58007.8,-105.527
-57812.5,-105.683
-57617.2,-105.811
-57421.9,-105.789
-57226.6,-105.805
-57031.2,-105.9
-56835.9,-105.936
-56640.6,-105.883
-56445.3,-106.059
-56250,-106.014
-56054.7,-106.24
-55859.4,-106.243
