frequency_hz,power_db_hz
-100000,-148.144
-99804.7,-148.074
-99609.4,-148.034
-99414.1,-147.96
-99218.8,-147.847
-99023.4,-147.706
-98828.1,-147.536
-98632.8,-147.433
-98437.5,-147.414
-98242.2,-147.366
-98046.9,-147.342
-97851.6,-147.422
-97656.2,-147.488
-97460.9,-147.693
-97265.6,-147.939
-97070.3,-148.251
-96875,-148.735
-96679.7,-149.303
-96484.4,-149.984
-96289.1,-150.555
-96093.8,-150.868
-95898.4,-150.662
-95703.1,-149.696
-95507.8,-148.175
-95312.5,-146.268
-95117.2,-144.371
-94921.9,-142.577
-94726.6,-140.718
-94531.2,-139.242
-94335.9,-137.725
-94140.6,-136.206
-93945.3,-134.919
-93750,-133.665
-93554.7,-132.527
-93359.4,-131.413
-93164.1,-130.227
-92968.8,-129.312
-92773.4,-128.385
-92578.1,-127.334
-92382.8,-126.541
-92187.5,-125.644
-91992.2,-124.886
-91796.9,-124.096
-91601.6,-123.187
-91406.2,-122.643
-91210.9,-121.91
-91015.6,-121.262
-90820.3,-120.529
-90625,-119.889
-90429.7,-119.457
-90234.4,-118.719
-90039.1,-118.086
-89843.8,-117.666
-89648.4,-117.148
-89453.1,-116.591
-89257.8,-116.078
-89062.5,-115.623
-88867.2,-115.267
-88671.9,-114.799
-88476.6,-114.221
-88281.2,-113.87
-88085.9,-113.543
-87890.6,-113.138
-87695.3,-112.665
-87500,-112.326
-87304.7,-112.147
-87109.4,-111.71
-86914.1,-111.301
-86718.8,-111.015
-86523.4,-110.844
-86328.1,-110.5
-86132.8,-110.104
-85937.5,-109.821
-85742.2,-109.715
-85546.9,-109.472
-85351.6,-108.985
-85156.2,-108.886
-84960.9,-108.695
-84765.6,-108.45
-84570.3,-108.195
-84375,-107.859
-84179.7,-107.971
-83984.4,-107.699
-83789.1,-107.41
-83593.8,-107.251
-83398.4,-107.094
-83203.1,-107.107
-83007.8,-106.703
-82812.5,-106.419
-82617.2,-106.493
-82421.9,-106.429
-82226.6,-106.205
-82031.2,-106.045
-81835.9,-105.946
-81640.6,-105.955
-81445.3,-105.765
-81250,-105.484
-81054.7,-105.538
-80859.4,-105.386
-80664.1,-105.358
-80468.8,-105.2
-80273.4,-105.094
-80078.1,-105.298
-79882.8,-105.005
-79687.5,-104.842
-79492.2,-104.907
-79296.9,-104.896
-79101.6,-104.821
-78906.2,-104.556
-78710.9,-104.671
-78515.6,-104.73
-78320.3,-104.594
-78125,-104.44
-77929.7,-104.365
-77734.4,-104.501
-77539.1,-104.554
-77343.8,-104.281
-77148.4,-104.228
-76953.1,-104.519
-76757.8,-104.319
-76562.5,-104.224
-76367.2,-104.282
-76171.9,-104.325
-75976.6,-104.309
-75781.2,-104.245
-75585.9,-104.279
-75390.6,-104.312
-75195.3,-104.343
-75000,-104.299
-74804.7,-104.231
-74609.4,-104.423
-74414.1,-104.464
-74218.8,-104.284
-74023.4,-104.295
-73828.1,-104.588
-73632.8,-104.439
-73437.5,-104.261
-73242.2,-104.459
-73046.9,-104.533
-72851.6,-104.682
-72656.2,-104.437
-72460.9,-104.376
-72265.6,-104.583
-72070.3,-104.681
-71875,-104.569
-71679.7,-104.472
-71484.4,-104.698
-71289.1,-104.87
-71093.8,-104.694
-70898.4,-104.669
-70703.1,-104.853
-70507.8,-104.874
-70312.5,-104.874
-70117.2,-104.821
-69921.9,-104.825
-69726.6,-104.958
-69531.2,-104.943
-69335.9,-104.906
-69140.6,-105.046
-68945.3,-105.137
-68750,-105.185
-68554.7,-104.883
-68359.4,-105.164
-68164.1,-105.351
-67968.8,-105.035
-67773.4,-105.036
-67578.1,-105.113
-67382.8,-105.252
-67187.5,-105.266
-66992.2,-105.092
-66796.9,-105.257
-66601.6,-105.466
-66406.2,-105.433
-66210.9,-105.159
-66015.6,-105.161
-65820.3,-105.494
-65625,-105.528
-65429.7,-105.362
-65234.4,-105.435
-65039.1,-105.433
-64843.8,-105.384
