frequency_hz,power_db_hz
-100000,-151.04
-99804.7,-151.042
-99609.4,-151.045
-99414.1,-151.002
-99218.8,-150.954
-99023.4,-150.974
-98828.1,-150.907
-98632.8,-150.972
-98437.5,-151.093
-98242.2,-151.086
-98046.9,-150.949
-97851.6,-150.997
-97656.2,-151.086
-97460.9,-150.978
-97265.6,-151.031
-97070.3,-151.078
-96875,-151.017
-96679.7,-151.136
-96484.4,-151.162
-96289.1,-151.047
-96093.8,-150.984
-95898.4,-151.005
-95703.1,-151.021
-95507.8,-150.985
-95312.5,-150.924
-95117.2,-150.85
-94921.9,-150.749
-94726.6,-150.495
-94531.2,-150.084
-94335.9,-149.633
-94140.6,-149.175
-93945.3,-148.54
-93750,-147.871
-93554.7,-147.145
-93359.4,-146.393
-93164.1,-145.578
-92968.8,-144.796
-92773.4,-144.024
-92578.1,-143.19
-92382.8,-142.212
-92187.5,-141.404
-91992.2,-140.673
-91796.9,-139.764
-91601.6,-138.999
-91406.2,-138.275
-91210.9,-137.503
-91015.6,-136.784
-90820.3,-136.074
-90625,-135.348
-90429.7,-134.649
-90234.4,-133.96
-90039.1,-133.311
-89843.8,-132.73
-89648.4,-132.177
-89453.1,-131.636
-89257.8,-131.11
-89062.5,-130.486
-88867.2,-129.891
-88671.9,-129.367
-88476.6,-128.808
-88281.2,-128.383
-88085.9,-127.884
-87890.6,-127.398
-87695.3,-126.959
-87500,-126.459
-87304.7,-126.086
-87109.4,-125.704
-86914.1,-125.303
-86718.8,-124.913
-86523.4,-124.544
-86328.1,-124.197
-86132.8,-123.752
-85937.5,-123.494
-85742.2,-123.124
-85546.9,-122.721
-85351.6,-122.511
-85156.2,-122.207
-84960.9,-121.876
-84765.6,-121.585
-84570.3,-121.29
-84375,-121.035
-84179.7,-120.69
-83984.4,-120.453
-83789.1,-120.259
-83593.8,-120.022
-83398.4,-119.746
-83203.1,-119.473
-83007.8,-119.32
-82812.5,-119.164
-82617.2,-118.884
-82421.9,-118.676
-82226.6,-118.538
-82031.2,-118.297
-81835.9,-118.163
-81640.6,-117.961
-81445.3,-117.899
-81250,-117.794
-81054.7,-117.616
-80859.4,-117.468
-80664.1,-117.309
-80468.8,-117.281
-80273.4,-117.154
-80078.1,-117.011
-79882.8,-116.917
-79687.5,-116.82
-79492.2,-116.613
-79296.9,-116.631
-79101.6,-116.565
