frequency_hz,power_db_hz
-100000,-151.046
-99804.7,-151.019
-99609.4,-150.995
-99414.1,-150.974
-99218.8,-151.063
-99023.4,-151.087
-98828.1,-151.007
-98632.8,-151.003
-98437.5,-150.989
-98242.2,-151.074
-98046.9,-151.067
-97851.6,-151.041
-97656.2,-151.021
-97460.9,-151.018
-97265.6,-150.993
-97070.3,-151.068
-96875,-150.966
-96679.7,-151.017
-96484.4,-151.044
-96289.1,-151.043
-96093.8,-151.043
-95898.4,-151.027
-95703.1,-151.07
-95507.8,-151.057
-95312.5,-150.959
-95117.2,-150.858
-94921.9,-150.692
-94726.6,-150.384
-94531.2,-150.089
-94335.9,-149.713
-94140.6,-149.2
-93945.3,-148.593
-93750,-147.972
-93554.7,-147.262
-93359.4,-146.512
-93164.1,-145.693
-92968.8,-144.877
-92773.4,-144.169
-92578.1,-143.273
-92382.8,-142.354
-92187.5,-141.564
-91992.2,-140.647
-91796.9,-139.777
-91601.6,-139.064
-91406.2,-138.373
-91210.9,-137.526
-91015.6,-136.775
-90820.3,-136.066
-90625,-135.4
-90429.7,-134.752
-90234.4,-134.109
-90039.1,-133.433
-89843.8,-132.739
-89648.4,-132.19
-89453.1,-131.618
-89257.8,-131.108
-89062.5,-130.543
-88867.2,-129.919
-88671.9,-129.38
-88476.6,-128.844
-88281.2,-128.42
-88085.9,-127.901
-87890.6,-127.441
-87695.3,-126.984
-87500,-126.566
-87304.7,-126.073
-87109.4,-125.667
-86914.1,-125.267
-86718.8,-124.878
-86523.4,-124.548
-86328.1,-124.163
-86132.8,-123.814
-85937.5,-123.474
-85742.2,-123.092
-85546.9,-122.775
-85351.6,-122.54
-85156.2,-122.313
-84960.9,-121.907
-84765.6,-121.598
-84570.3,-121.293
-84375,-121.085
-84179.7,-120.74
-83984.4,-120.524
-83789.1,-120.273
-83593.8,-119.994
-83398.4,-119.754
-83203.1,-119.626
-83007.8,-119.366
-82812.5,-119.129
-82617.2,-119.002
-82421.9,-118.775
-82226.6,-118.583
-82031.2,-118.437
-81835.9,-118.298
-81640.6,-118.169
-81445.3,-117.986
-81250,-117.881
-81054.7,-117.713
-80859.4,-117.479
-80664.1,-117.425
-80468.8,-117.268
-80273.4,-117.023
-80078.1,-116.949
-79882.8,-116.936
-79687.5,-116.896
-79492.2,-116.74
-79296.9,-116.645
-79101.6,-116.429
-78906.2,-116.377
-78710.9,-116.285
-78515.6,-116.202
-78320.3,-116.133
-78125,-116.201
-77929.7,-116.11
-77734.4,-115.987
-77539.1,-115.905
-77343.8,-115.868
-77148.4,-115.861
-76953.1,-115.881
-76757.8,-115.827
-76562.5,-115.788
-76367.2,-115.755
-76171.9,-115.683
-75976.6,-115.643
-75781.2,-115.555
-75585.9,-115.499
-75390.6,-115.488
-75195.3,-115.434
-75000,-115.483
-74804.7,-115.478
-74609.4,-115.427
-74414.1,-115.413
-74218.8,-115.335
-74023.4,-115.307
-73828.1,-115.377
-73632.8,-115.416
-73437.5,-115.357
-73242.2,-115.37
-73046.9,-115.293
-72851.6,-115.322
-72656.2,-115.27
-72460.9,-115.294
-72265.6,-115.243
-72070.3,-115.249
-71875,-115.219
-71679.7,-115.219
-71484.4,-115.207
-71289.1,-115.174
-71093.8,-115.075
-70898.4,-115.106
-70703.1,-115.09
-70507.8,-115.08
