frequency_hz,power_db_hz
-100000,-150.997
-99804.7,-151.05
-99609.4,-150.987
-99414.1,-150.974
-99218.8,-150.973
-99023.4,-151.021
-98828.1,-151.138
-98632.8,-151.059
-98437.5,-151.089
-98242.2,-150.975
-98046.9,-151.012
-97851.6,-151.004
-97656.2,-150.961
-97460.9,-151.029
-97265.6,-151.039
-97070.3,-150.946
-96875,-150.993
-96679.7,-151.017
-96484.4,-151.055
-96289.1,-151.09
-96093.8,-151.059
-95898.4,-151.057
-95703.1,-151.08
-95507.8,-151.065
-95312.5,-150.935
-95117.2,-150.726
-94921.9,-150.592
-94726.6,-150.381
-94531.2,-150.129
-94335.9,-149.736
-94140.6,-149.188
-93945.3,-148.609
-93750,-147.88
-93554.7,-147.21
-93359.4,-146.512
-93164.1,-145.689
-92968.8,-144.894
-92773.4,-144.086
-92578.1,-143.165
-92382.8,-142.384
-92187.5,-141.526
-91992.2,-140.638
-91796.9,-139.817
-91601.6,-138.959
-91406.2,-138.24
-91210.9,-137.496
-91015.6,-136.77
-90820.3,-136.084
-90625,-135.453
-90429.7,-134.765
-90234.4,-134.023
-90039.1,-133.304
-89843.8,-132.712
-89648.4,-132.148
-89453.1,-131.482
-89257.8,-130.946
-89062.5,-130.321
-88867.2,-129.85
-88671.9,-129.264
-88476.6,-128.797
-88281.2,-128.42
-88085.9,-127.841
-87890.6,-127.406
-87695.3,-127.026
-87500,-126.531
-87304.7,-126.049
-87109.4,-125.663
-86914.1,-125.261
-86718.8,-124.838
-86523.4,-124.453
-86328.1,-124.053
-86132.8,-123.706
-85937.5,-123.36
-85742.2,-123.004
-85546.9,-122.739
-85351.6,-122.407
-85156.2,-122.094
-84960.9,-121.837
-84765.6,-121.57
-84570.3,-121.335
-84375,-121.007
-84179.7,-120.723
-83984.4,-120.418
-83789.1,-120.232
-83593.8,-120.022
-83398.4,-119.757
-83203.1,-119.514
-83007.8,-119.271
-82812.5,-119.035
-82617.2,-118.926
-82421.9,-118.768
-82226.6,-118.583
-82031.2,-118.353
-81835.9,-118.24
-81640.6,-118.079
-81445.3,-117.953
-81250,-117.835
-81054.7,-117.648
-80859.4,-117.493
-80664.1,-117.369
-80468.8,-117.307
-80273.4,-117.201
-80078.1,-117.014
-79882.8,-116.797
-79687.5,-116.705
-79492.2,-116.666
-79296.9,-116.604
-79101.6,-116.519
-78906.2,-116.536
-78710.9,-116.382
-78515.6,-116.261
-78320.3,-116.142
-78125,-116.147
-77929.7,-116.112
-77734.4,-115.895
-77539.1,-115.867
-77343.8,-115.906
-77148.4,-115.875
-76953.1,-115.866
-76757.8,-115.752
-76562.5,-115.733
-76367.2,-115.747
-76171.9,-115.561
-75976.6,-115.437
-75781.2,-115.533
-75585.9,-115.534
-75390.6,-115.514
-75195.3,-115.488
-75000,-115.461
-74804.7,-115.459
-74609.4,-115.441
-74414.1,-115.414
-74218.8,-115.366
-74023.4,-115.333
-73828.1,-115.343
-73632.8,-115.321
-73437.5,-115.284
-73242.2,-115.285
-73046.9,-115.255
-72851.6,-115.263
-72656.2,-115.279
-72460.9,-115.156
-72265.6,-115.141
-72070.3,-115.105
-71875,-115.057
-71679.7,-115.083
-71484.4,-115.15
-71289.1,-115.087
-71093.8,-115.094
-70898.4,-115.083
-70703.1,-115.068
-70507.8,-115.086
-70312.5,-115.066
-70117.2,-115.052
-69921.9,-115.045
-69726.6,-114.982
-69531.2,-114.986
-69335.9,-115.022
-69140.6,-115.058
-68945.3,-114.992
-68750,-115.06
-68554.7,-115.087
-68359.4,-115.037
-68164.1,-114.983
-67968.8,-115.017
-67773.4,-115.003
-67578.1,-114.954
-67382.8,-114.977
-67187.5,-114.937
-66992.2,-114.883
-66796.9,-114.818
-66601.6,-114.883
-66406.2,-114.901
-66210.9,-114.941
-66015.6,-114.912
-65820.3,-114.858
-65625,-114.926
-65429.7,-114.939
-65234.4,-114.936
-65039.1,-114.881
-64843.8,-114.868
-64648.4,-114.801
-64453.1,-114.751
-64257.8,-114.789
-64062.5,-114.745
-63867.2,-114.818
-63671.9,-114.865
-63476.6,-114.908
-63281.2,-114.906
-63085.9,-114.905
-62890.6,-114.898
-62695.3,-114.807
-62500,-114.838
-62304.7,-114.881
-62109.4,-114.835
-61914.1,-114.885
-61718.8,-114.924
-61523.4,-114.896
-61328.1,-114.788
-61132.8,-114.89
-60937.5,-114.917
-60742.2,-114.882
-60546.9,-114.872
-60351.6,-114.89
-60156.2,-114.996
-59960.9,-115.004
-59765.6,-114.871
-59570.3,-114.914
-59375,-114.948
-59179.7,-114.934
-58984.4,-114.93
-58789.1,-114.994
-58593.8,-114.984
-58398.4,-114.965
-58203.1,-114.983
-58007.8,-115.02
-57812.5,-115.022
-57617.2,-114.995
-57421.9,-115.026
-57226.6,-115.095
-57031.2,-115.071
-56835.9,-115.09
-56640.6,-115.177
-56445.3,-115.153
-56250,-115.105
-56054.7,-115.186
-55859.4,-115.182
-55664.1,-115.158
-55468.8,-115.148
-55273.4,-115.079
-55078.1,-115.056
-54882.8,-115.18
-54687.5,-115.191
-54492.2,-115.149
-54296.9,-115.13
-54101.6,-115.212
-53906.2,-115.196
-53710.9,-115.238
-53515.6,-115.199
-53320.3,-115.163
-53125,-115.165
-52929.7,-115.281
-52734.4,-115.336
-52539.1,-115.269
-52343.8,-115.22
-52148.4,-115.275
-51953.1,-115.247
-51757.8,-115.299
-51562.5,-115.429
-51367.2,-115.418
-51171.9,-115.449
-50976.6,-115.357
-50781.2,-115.344
-50585.9,-115.35
-50390.6,-115.427
-50195.3,-115.416
-50000,-115.336
-49804.7,-115.429
-49609.4,-115.476
-49414.1,-115.585
-49218.8,-115.567
-49023.4,-115.489
-48828.1,-115.472
-48632.8,-115.589
-48437.5,-115.576
-48242.2,-115.584
-48046.9,-115.611
-47851.6,-115.602
-47656.2,-115.625
-47460.9,-115.579
-47265.6,-115.627
-47070.3,-115.644
-46875,-115.619
-46679.7,-115.668
-46484.4,-115.623
-46289.1,-115.625
-46093.8,-115.626
-45898.4,-115.575
-45703.1,-115.599
-45507.8,-115.63
-45312.5,-115.532
-45117.2,-115.543
-44921.9,-115.555
-44726.6,-115.615
-44531.2,-115.663
-44335.9,-115.617
-44140.6,-115.601
-43945.3,-115.644
-43750,-115.618
-43554.7,-115.561
-43359.4,-115.575
-43164.1,-115.593
-42968.8,-115.569
-42773.4,-115.63
-42578.1,-115.657
-42382.8,-115.614
-42187.5,-115.578
-41992.2,-115.594
-41796.9,-115.609
-41601.6,-115.581
-41406.2,-115.569
-41210.9,-115.551
-41015.6,-115.596
-40820.3,-115.582
-40625,-115.638
-40429.7,-115.657
-40234.4,-115.577
-40039.1,-115.535
-39843.8,-115.551
-39648.4,-115.545
-39453.1,-115.5
-39257.8,-115.565
-39062.5,-115.599
-38867.2,-115.566
-38671.9,-115.504
-38476.6,-115.41
-38281.2,-115.413
-38085.9,-115.535
-37890.6,-115.484
-37695.3,-115.375
-37500,-115.38
-37304.7,-115.459
-37109.4,-115.426
-36914.1,-115.397
-36718.8,-115.362
-36523.4,-115.424
-36328.1,-115.34
-36132.8,-115.348
-35937.5,-115.362
-35742.2,-115.372
-35546.9,-115.263
-35351.6,-115.313
-35156.2,-115.276
-34960.9,-115.295
-34765.6,-115.251
-34570.3,-115.268
-34375,-115.244
-34179.7,-115.155
-33984.4,-115.151
-33789.1,-115.124
-33593.8,-115.175
-33398.4,-115.113
-33203.1,-115.08
-33007.8,-115.02
-32812.5,-114.994
-32617.2,-114.975
-32421.9,-114.992
-32226.6,-115.096
-32031.2,-115.079
-31835.9,-115.077
-31640.6,-114.991
-31445.3,-114.96
-31250,-114.889
-31054.7,-114.898
-30859.4,-114.897
-30664.1,-114.983
-30468.8,-115
-30273.4,-114.907
-30078.1,-114.844
-29882.8,-114.858
-29687.5,-114.866
-29492.2,-114.901
-29296.9,-114.865
-29101.6,-114.805
-28906.2,-114.72
-28710.9,-114.659
-28515.6,-114.674
-28320.3,-114.661
-28125,-114.683
-27929.7,-114.706
-27734.4,-114.626
-27539.1,-114.604
-27343.8,-114.661
-27148.4,-114.646
-26953.1,-114.637
-26757.8,-114.576
-26562.5,-114.582
-26367.2,-114.557
-26171.9,-114.525
-25976.6,-114.392
-25781.2,-114.528
-25585.9,-114.536
-25390.6,-114.526
-25195.3,-114.553
-25000,-114.553
-24804.7,-114.571
-24609.4,-114.442
-24414.1,-114.433
-24218.8,-114.421
-24023.4,-114.392
-23828.1,-114.358
-23632.8,-114.396
-23437.5,-114.413
-23242.2,-114.437
-23046.9,-114.391
-22851.6,-114.229
-22656.2,-114.238
-22460.9,-114.361
-22265.6,-114.298
-22070.3,-114.275
-21875,-114.32
-21679.7,-114.353
-21484.4,-114.283
-21289.1,-114.262
-21093.8,-114.271
-20898.4,-114.192
-20703.1,-114.197
-20507.8,-114.257
-20312.5,-114.341
-20117.2,-114.317
-19921.9,-114.251
-19726.6,-114.199
-19531.2,-114.237
-19335.9,-114.264
-19140.6,-114.233
-18945.3,-114.21
-18750,-114.203
-18554.7,-114.148
-18359.4,-114.119
-18164.1,-114.203
-17968.8,-114.265
-17773.4,-114.234
-17578.1,-114.217
-17382.8,-114.159
-17187.5,-114.216
-16992.2,-114.19
-16796.9,-114.167
-16601.6,-114.131
-16406.2,-114.13
-16210.9,-114.137
-16015.6,-114.079
-15820.3,-114.081
-15625,-114.149
-15429.7,-114.227
-15234.4,-114.139
-15039.1,-114.101
-14843.8,-114.033
-14648.4,-114.082
-14453.1,-114.122
-14257.8,-114.179
-14062.5,-113.431
-13867.2,-110.564
-13671.9,-112.169
-13476.6,-114.105
-13281.2,-114.109
-13085.9,-114.178
-12890.6,-114.218
-12695.3,-114.104
-12500,-114.103
-12304.7,-114.15
-12109.4,-114.119
-11914.1,-114.077
-11718.8,-114.113
-11523.4,-114.105
-11328.1,-114.068
-11132.8,-113.998
-10937.5,-114.055
-10742.2,-114.036
-10546.9,-114.018
-10351.6,-114.003
-10156.2,-113.946
-9960.94,-114.009
-9765.62,-113.971
-9570.31,-113.966
-9375,-113.893
-9179.69,-113.921
-8984.38,-113.881
-8789.06,-113.864
-8593.75,-113.902
-8398.44,-113.787
-8203.12,-113.751
-8007.81,-113.812
-7812.5,-113.84
-7617.19,-113.77
-7421.88,-113.785
-7226.56,-113.744
-7031.25,-113.779
-6835.94,-113.672
-6640.62,-113.58
-6445.31,-113.645
-6250,-113.57
-6054.69,-113.434
-5859.38,-113.399
-5664.06,-113.364
-5468.75,-113.293
-5273.44,-113.193
-5078.12,-113.173
-4882.81,-113.122
-4687.5,-112.997
-4492.19,-112.964
-4296.88,-112.813
-4101.56,-112.77
-3906.25,-112.534
-3710.94,-112.451
-3515.62,-112.431
-3320.31,-112.332
-3125,-112.142
-2929.69,-111.968
-2734.38,-111.753
-2539.06,-111.644
-2343.75,-111.392
-2148.44,-111.184
-1953.12,-110.934
-1757.81,-110.556
-1562.5,-110.242
-1367.19,-109.959
-1171.88,-109.424
-976.562,-108.782
-781.25,-108.075
-585.938,-107.105
-390.625,-105.368
-195.312,-99.6495
0,-95.4921
195.312,-99.7754
390.625,-105.357
585.938,-107.003
781.25,-108.05
976.562,-108.73
1171.88,-109.29
1367.19,-109.845
1562.5,-110.264
1757.81,-110.708
1953.12,-110.97
2148.44,-111.205
2343.75,-111.408
2539.06,-111.632
2734.38,-111.806
2929.69,-111.961
3125,-112.11
3320.31,-112.211
3515.62,-112.305
3710.94,-112.449
3906.25,-112.615
4101.56,-112.801
4296.88,-112.833
4492.19,-112.845
4687.5,-112.984
4882.81,-113.054
5078.12,-113.003
5273.44,-113.159
5468.75,-113.307
5664.06,-113.368
5859.38,-113.324
